ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367224,ciprofloxacin,環丙氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367225,cisapride ,順洒泊秘 ；氟丙哌苯醯胺,Laxatives：Prokinetic Agents (5-HT4 agonists) ,2024.11.22,
21367226,cisplatin,順氨配氯鉑,Antineoplastic agents：Alkylating agents,2024.11.22,
21367227,citalopram,希達思汀；氰苯喃伸思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),2024.11.22,
21367228,cladribine,氯腺去羥苷,Antineoplastic agents：Antimetabolites,2024.11.22,
21367229,clarithromycin,甲紅絲菌素,<p>Antibiotics：Macrolides</p>,<p>2024.11.22</p>,
21367230,"clavulanic acid, clavulanate",棒絲菌酸,Antibiotics：β-lactamase inhibitor,2024.11.22,
21367231,clemastine,氯苯乙醚咯啶,Antihistamines：H1-antihistamines,2024.11.22,
21367232,clindamycin,氯林絲菌素,Antibiotics：Lincosamides,2024.11.22,
21367233,clioquinol ,氯碘喹酚,Antifungals：Others [Antiparasitics：Antiprotozoals],2024.11.22,
21367234,clobazam,氯異二氮呯酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Benzodiazepines,2024.11.22,
21367235,clofarabine,氯腺氟苷,Antineoplastic agents：Antimetabolites,2024.11.22,
21367236,clomiphene,氯胺醚苯芪；氯胺乙氧苯芪,Sex-hormonal agent：Estrogen receptor (ER) modulators,2024.11.22,
21367237,clomipramine,氯氮呯思定；氯氮三環丙胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367238,clonazepam,氯硝二氮呯酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Benzodiazepines,2024.11.22,
21367239,clonidine,氯苯胺咪唑,Antihypertensives：Adrenergic agents,2024.11.22,
21367240,clorazepate,氯羧二氮呯酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Benzodiazepines,2024.11.22,
21367241,clotrimazole,氯三苯剋黴唑,Antifungals：Azole,2024.11.22,
21367242,cloxacillin,氯苯㗁唑西林,Antibiotics：Penicillins,2024.11.22,
21367243,cobimetinib,剋畢神纖靶泊；哌氮呾神纖靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367244,colistin,多黏桿菌素E；多黏桿菌肽E,Antibiotics：Polypeptides,2024.11.22,
21367245,conjugated estrogens,雌激素共軛物；雌激素硫酸酯,Sex-hormonal agent：Estrogen receptor (ER) modulators,2024.11.22,
