ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21378298,"thyrotropin alfa (thyroid stimulating hormone, tsh)",重組促甲狀腺素α；r促甲狀腺素α,Agents Related to Pituitary and Hypothalamic Function: Anterior Pituitary Hormones,2025.6.30,
21378299,Thyroxine,甲狀腺素,Agents used to treat thyroid disorders: Thyroid hormones,2025.6.30,
21378300,triamcinolone,羥抑炎醇；氟羥去氫皮質醇,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378301,triamcinolone diacetate,羥抑炎醇二乙酸酯；氟羥去氫皮質醇二乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.6.30,
21378302,Triiodothyronine (T3),三碘甲狀腺素,Agents used to treat thyroid disorders: Thyroid hormones,2025.6.30,
21378303,Ulipristal acetate,乙醯抑孕酮乙酸酯；胺苯雌醇酮乙醯乙酸酯,Uterine stimulants,2025.6.30,
21378304,vamorolone,甲抗炎烯烴；甲去氫皮質烯烴,Adrenal Corticosteroids：Others,2025.6.30,
21378305,Voglibose,碳葡糖丙二醇胺,Drugs used in dysglycemia: α-Glucosidase inhibitors,2025.6.30,
21378306,Zafirlukast,擾伏拮白烯；磺胺吲拮白烯,Antiallergic Agents,2025.6.30,
21378307,Zoledronate,咪羥乙雙膦酸鹽,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378308,Zoledronic acid,咪羥乙聯膦酸,Calcium regulating agents: Bisphosphonates,2025.6.30,
21378309,benzhexol,環己啶苄醇；環己羥苄哌啶,Anti-Parkinson drugs: Anticholinergic drugs,2025.8.14,
21378310,carbidopa,胺甲多巴；甲兒茶肼酸；酚酪甲肼酸,Anti-Parkinson drugs: Dopaminergic agents,2025.8.14,
21378311,trihexyphenidyl,環己羥苄哌啶；環己啶苄醇,Anti-Parkinson drugs: Anticholinergic drugs,2025.8.14,
21378312,atropine,顛茄鹼；阿托品,Reversal agents,2025.8.20,
21378313,flumazenil,氟二氮呯咪酯,Reversal agents,2025.8.20,
21378314,glycopyrrolate,甘醇酸咯錠酯溴鹽,Reversal agents,2025.8.20,
21378315,glycopyrronium bromide,甘醇酸咯錠酯溴鹽 ,Reversal agents,2025.8.20,
21378316,ipratropium,異丙顛茄銨,Respiratory tract drugs: Bronchodialators [Anticholinergic Agents],2025.8.20,
21378317,sugammadex,羧乙硫環糊精鈉鹽,Reversal agents,2025.8.20,
21378318,xylocaine,二甲苯卡因；利多卡因,Analgesics & Anesthetics: Local anesthetics [Antiarrhythmics agents：Class Ib antiarrhythmics],2025.8.20,
21388559,Tubocurarine,管箭毒素,Muscle relaxants: Peripherally acting agents,2025-07-16 00:00:00,
21388560,d-tubocurarine,管箭毒素,Muscle relaxants: Peripherally acting agents,2025-07-16 00:00:00,
21388561,Succinylcholine,丁二醯膽鹼氯鹽；琥珀醯膽鹼氯鹽,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],2025-02-26 00:00:00,
21388562,Atracurium besilate,烷酯擬箭毒苯磺酸鹽,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],2025-07-16 00:00:00,
21388563,Cisatracurium besilate,順烷酯擬箭毒苯磺酸鹽,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],2025-07-16 00:00:00,
21388564,Botulinum Toxin Type A,A型肉毒桿菌毒素,Muscle relaxants: Peripherally acting agents,2025-07-16 00:00:00,
21388565,Botulinum Toxin Type B,B型肉毒桿菌毒素,Muscle relaxants: Peripherally acting agents,2025-07-16 00:00:00,
21388566,Carisoprodol,異丙二胺甲酯,Muscle relaxants: Centrally acting agents,2025-07-16 00:00:00,
21388567,Methocarbamol ,甲醚胺甲酯醇；兒茶醚胺甲酯,Muscle relaxants: Centrally acting agents,2025-07-16 00:00:00,
21388568,Chlorzoxazone,氯苯㗁唑酮,Muscle relaxants: Centrally acting agents,2025-07-16 00:00:00,
21388569,Orphenadrine,苯甲苄醚乙胺,Muscle relaxants: Centrally acting agents,2025-07-16 00:00:00,
21388570,Baclofen,氯苯胺丁酸,Muscle relaxants: Centrally acting agents,2025-07-16 00:00:00,
21388571,Tizanidine,噻二唑咪唑 ；咪苯噻二唑,Muscle relaxants: Centrally acting agents,2025-09-19 00:00:00,
21388572,Tolperisone,甲苯哌啶酮,Muscle relaxants: Centrally acting agents,2025-07-16 00:00:00,
21388573,Cyclobenzaprine,碳呯外烯丙胺；苯環庚外烯丙胺,Muscle relaxants: Centrally acting agents,2025-09-19 00:00:00,
21388574,Dantrolene,醯脲硝苯呋喃；硝苯呋腙咪唑酮,Muscle relaxants: Directly acting agents,2025-09-19 00:00:00,
21388575,Cinnarizine,桂哌𠯤；桂苯苄哌𠯤,Antivertigo preparations,2025-09-19 00:00:00,
21388576,Flunarizine,桂氟哌𠯤；桂氟苯苄哌𠯤,Antivertigo preparations,2025-09-19 00:00:00,
21388577,5-Hydroxytryptophan,羥色胺酸,Enzymes,2025-08-20 00:00:00,
21388578,oxitriptan,羥色胺酸,Enzymes,2025-08-20 00:00:00,
21388579,Sapropterin,四氫生物喋呤,Enzymes,2025-08-20 00:00:00,
21388580,Tetrahydrobiopterin,四氫生物喋呤,Enzymes,2025-08-20 00:00:00,
21388581,Agalsidase Alfa,r半乳糖苷酶α,Enzymes,2025-08-20 00:00:00,
21388582,Agalsidase Beta,r半乳糖苷酶β,Enzymes,2025-08-20 00:00:00,
21388583,Elosulfase alfa,耶羅硫酸酯酶α,Enzymes,2025-08-20 00:00:00,
21388584,Arylsulfatase B,芳香硫酸酯酶B；半乳糖硫酸酯酶,Enzymes,2025-08-20 00:00:00,
21388585,Galsulfase,半乳糖硫酸酯酶；芳香硫酸酯酶B,Enzymes,2025-08-20 00:00:00,
21388586,Idursulfase,艾杜硫酸酯酶,Enzymes,2025-08-20 00:00:00,
21388587,Imiglucerase,依彌葡腦脂酶,Enzymes,2025-08-20 00:00:00,
21388588,Laronidase,艾杜醛酸酶,Enzymes,2025-09-19 00:00:00,
21388589,Iduronidase,艾杜(糖)醛酸酶,Enzymes,2025-08-20 00:00:00,
21388590,Eliglustat,艾利葡腦脂汀；辛醯吡咯二㗁洛 ,Enzymes,2025-08-20 00:00:00,
21388591,Nicotine,尼古丁；菸鹼,Drug used in smoke cessation,2025-08-14 00:00:00,
21388592,Varenicline,伐尼可淨；哌啶苯吡𠯤,Drug used in smoke cessation,2025-08-14 00:00:00,
21388593,Clofazimine,氯苯啡𠯤胺,Antimycobacterials,2025-08-20 00:00:00,
21388594,Prothionamide,丙吡啶硫醯胺,Antimycobacterials,2025-08-20 00:00:00,
21388595,Protionamide,丙吡啶硫醯胺,Antimycobacterials,2025-08-20 00:00:00,
21388596,Digoxin Immune Fab,毛地黃苷單抗,Antidotes in Poisoning,2025-08-14 00:00:00,
21388597,Idarucizumab,達庇凝擬單抗,Antidotes in Poisoning,2025-08-14 00:00:00,
21388598,Methylthioninium Chloride,亞甲藍；二甲胺啡【金塞】𠯤氯,Antidotes in Poisoning,2025-08-14 00:00:00,
21388599,Methylene Blue,亞甲藍；二甲胺啡【金塞】𠯤氯,Antidotes in Poisoning,2025-08-14 00:00:00,
21388600,Naloxone,納洛酮；丙烯羥嗎啡酮,Antidotes in Poisoning,2025-08-14 00:00:00,
21388601,Pralidoxime,吡錠甲肟,Antidotes in Poisoning,2025-08-14 00:00:00,
21388602,Protamine,魚精蛋白,Antidotes in Poisoning,2025-08-14 00:00:00,
21388603,Benzydamine,苄吲唑胺,Dental preparations,2025-08-14 00:00:00,
21388604,Chlorhexidine,氯亞己二胍；亞己氯苯二胍,Dental preparations,2025-08-14 00:00:00,
21388605,"Nitroglycerin, glyceryl trinitrate",硝化甘油；三硝酸甘油酯,Antianginal,2025-08-18 00:00:00,
21388606,Trinitroglycerol,三硝酸甘油酯；硝化甘油,Antianginal,2025-08-18 00:00:00,
21388607,"1,2,3-trinitroxypropane",三硝酸甘油酯；硝化甘油,Antianginal,2025-08-18 00:00:00,
21388608,Isosorbide 5-mononitrtate,硝酸山梨二呋酯,Antianginal,2025-08-18 00:00:00,
21388609,Isosorbide dinitrate,二硝酸山梨二呋酯,Antianginal,2025-08-18 00:00:00,
21388610,Salbutamol,叔丁伸洛；丁伸原腎上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),2025-07-14 00:00:00,
21388611,albuterol,叔丁伸洛；丁伸原腎上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),2025-07-14 00:00:00,
21388612,Levosalbutamol,l-叔丁伸洛；l-丁伸原腎上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),2025-07-14 00:00:00,
21388613,levalbuterol,l-叔丁伸洛；l-丁伸原腎上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),2025-07-14 00:00:00,
21388614,Isoproterenol,異丙洛；異丙原腎上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),2025-07-14 00:00:00,
21388615,isoprenaline,異丙原腎上腺素；異丙洛,Respiratory tract drugs: Short-acting β2 agonists (SABAs),2025-07-14 00:00:00,
21388616,Terbutaline,叔丁間洛；叔丁間原腎上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),2025-07-14 00:00:00,
21388617,Fenoterol,酚丙間洛；酚間原腎上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),2025-07-14 00:00:00,
21388618,Procaterol,護氣管洛；丙喹啉酮乙洛,Respiratory tract drugs: Short-acting β2 agonists (SABAs),2025-09-19 00:00:00,
21388619,Bambuterol,丁間胺甲醯洛；丁間胺醯原腎上腺素,Respiratory tract drugs: Long-acting β2 agonists (LABAs),2025-07-14 00:00:00,
21388620,Formoterol,福茂氣管洛；甲醚苯丙甲醯胺洛,Respiratory tract drugs: Long-acting β2 agonists (LABAs),2025-09-19 00:00:00,
21388621,Salmeterol,洒美氣管洛；苯丁醚戊伸洛,Respiratory tract drugs: Long-acting β2 agonists (LABAs),2025-09-19 00:00:00,
21388622,Salmeterol Xinafoate,洒美氣管洛萘甲酸鹽；苯丁醚戊伸洛苯(并)柳酸鹽,Respiratory tract drugs: Long-acting β2 agonists (LABAs),2025-09-19 00:00:00,
21388623,Olodaterol,奧達氣管洛；㗁𠯤酮洛,Respiratory tract drugs: Ultra-long-acting β2 agonists  (Ultra LABAs),2025-09-19 00:00:00,
21388624,Vilanterol,維氣管洛；二氯苄醚伸洛,Respiratory tract drugs: Ultra-long-acting β2 agonists   (Ultra LABAs),2025-09-19 00:00:00,
21388625,Vilanterol Trifenatate,維氣管洛三苯乙酸鹽；二氯苄醚伸洛三苯乙酸鹽,Respiratory tract drugs: Ultra-long-acting β2 agonists  (Ultra LABAs),2025-09-19 00:00:00,
21388626,Indacaterol,蔭達氣管洛；茚喹啉酮洛,Respiratory tract drugs: Ultra-long-acting β2 agonists  (Ultra LABAs),2025-09-19 00:00:00,
21388627,Ephedrine,麻黃鹼,Respiratory tract drugs: α- and β-adrenoreceptor agonists,2025-07-14 00:00:00,
21388628,Pseudoephedrine,擬麻黃鹼,Respiratory tract drugs: α- and β-adrenoreceptor agonists,2025-07-14 00:00:00,
21388629,Phenylephrine,去對羥腎上腺素,Respiratory tract drugs: α- and β-adrenoreceptor agonists,2025-07-14 00:00:00,
21388630,Tiotropium bromide,噻吩甲莨菪鐱溴鹽,Respiratory tract drugs: Anticholinergic agents,2025-09-19 00:00:00,
21388631,Umeclidinium bromide,烏弭【口昆】錠溴鹽；偕苯苄醚乙【口昆】錠溴鹽,Respiratory tract drugs: Anticholinergic agents,2025-07-14 00:00:00,
21388632,Cromoglicic acid,色甘酸；甘油醚色酮酸,Respiratory tract drugs: Mast cell stabilizer,2025-07-14 00:00:00,
21388633,cromolyn,色甘酸；甘油醚色酮酸,Respiratory tract drugs: Mast cell stabilizer,2025-07-14 00:00:00,
21388634,cromoglycate,色甘酸；甘油醚色酮酸,Respiratory tract drugs: Mast cell stabilizer,2025-07-14 00:00:00,
21388635,cromoglicate,色甘酸；甘油醚色酮酸,Respiratory tract drugs: Mast cell stabilizer,2025-07-14 00:00:00,
21388636,Nedocromil,吡啶色酮酸；吡喃喹啉酮酸,Respiratory tract drugs: Mast cell stabilizer,2025-09-19 00:00:00,
21388637,Dextromethorphan,d-甲氧嗎啡烷,Respiratory tract drugs: Antitussive agents,2025-07-14 00:00:00,
21388638,Noscapine,甲氧北美黃連鹼,Respiratory tract drugs: Antitussive agents,2025-07-14 00:00:00,
21388639,Benzonatate,丁胺苯甲酸𡈼乙二酯,Respiratory tract drugs: Antitussive agents,2025-07-14 00:00:00,
21388640,Ambroxol,胺溴醇；溴苯苄胺環己醇,Respiratory tract drugs: Mucolytic agents,2025-10-20 00:00:00,
21388641,Bromhexine,溴苄環己胺；溴環己胺苯胺,Respiratory tract drugs: Mucolytic agents,2025-07-14 00:00:00,
21388642,Mesna,硫乙磺酸鈉,Respiratory tract drugs: Mucolytic agents,2025-07-14 00:00:00,
21388643,Acetylcysteine,乙醯半胱胺酸,Respiratory tract drugs: Mucolytic agents,2025-07-14 00:00:00,
21388644,Erdosteine,優化速停；噻酮胺醯硫乙酸,Respiratory tract drugs: Mucolytic agents,2025-07-14 00:00:00,
21388645,Mepolizumab,美泊喘嵌單抗,Respiratory tract drugs: Monoclonal antibodies,2025-07-14 00:00:00,
21388646,Omalizumab,奧弭喘嵌單抗,Respiratory tract drugs: Monoclonal antibodies,2025-07-14 00:00:00,
21388647,Pirfenidone,苯吡啶酮,Respiratory tract drugs: Others,2025-07-14 00:00:00,
21388648,Ferrous Citrate,亞鐵檸檬酸鹽,Hematological agents: Agents used to treat deficiency anemia,2025-10-20 00:00:00,
21388649,Ferric Hydroxide Polymaltose Complex,鐵配麥糖；配多麥糖氫氧化鐵,Hematological agents: Agents used to treat deficiency anemia,2025-10-20 00:00:00,
21388650,Ferric Hydroxide Sucrose,鐵配蔗糖；配蔗糖氫氧化鐵,Hematological agents: Agents used to treat deficiency anemia,2025-10-20 00:00:00,
21388651,Hydroxocobalamin,羥鈷胺,Hematological agents: Agents used to treat deficiency anemia,2025-07-21 00:00:00,
21388652,Cyanocobalamin,氰鈷胺,Hematological agents: Agents used to treat deficiency anemia,2025-07-21 00:00:00,
21388653,Methylcobalamin,甲鈷胺,Hematological agents: Agents used to treat deficiency anemia,2025-07-21 00:00:00,
21388654,Mecobalamin,甲鈷胺,Hematological agents: Agents used to treat deficiency anemia,2025-07-21 00:00:00,
21388655,Folic acid,葉酸,Hematological agents: Agents used to treat deficiency anemia,2025-07-21 00:00:00,
21388656,Folinic acid,甲醯葉酸,Hematological agents: Agents used to treat deficiency anemia,2025-07-21 00:00:00,
21388657,Leucovorin,甲醯葉酸,Hematological agents: Agents used to treat deficiency anemia,2025-07-21 00:00:00,
21388658,Albumin human,人白蛋白,Hematological agents: Blood components and blood substituents,2025-07-21 00:00:00,
21388659,Dextran,聚葡糖；分支聚葡<sup>6</sup>糖,<p>Hematological agents: Blood components and blood substituents</p>,2025-07-21,
21388660,Hydroxyethyl starch,羥乙澱粉,Hematological agents: Blood components and blood substituents,2025-07-21 00:00:00,
21388661,Human hemin,人血紅素；人氯化血紅素,Hematological agents: Blood components and blood substituents,2025-09-19 00:00:00,
21388662,Phytonadione,維生素K<sub>1</sub>；二萜萘醌,<p>Hematological agents: Hemostatics</p>,2025-07-21 00:00:00,
21388663,Phytomenadione,維生素K<sub>1</sub>；二萜萘醌,<p>Hematological agents: Hemostatics</p>,2025-07-21 00:00:00,
21388664,Phylloquinone,維生素K<sub>1</sub>；二萜萘醌,<p>Hematological agents: Hemostatics</p>,2025-07-21 00:00:00,
21388665,Menadione,維生素K<sub>3</sub>；甲萘醌,<p>Hematological agents: Hemostatics</p>,2025-09-19 00:00:00,
21388666,Tranexamic Acid,反環己胺酸；反胺甲環己甲酸,Hematological agents: Hemostatics,2025-09-19 00:00:00,
21388667,Erythropoietin(=EPO),紅血球增生素；紅血球生成素,Hematological agents: Hematopoietic agents,2025-07-23 00:00:00,
21388668,Erythropoetin(=EPO),紅血球增生素；紅血球生成素,Hematological agents: Hematopoietic agents,2025-07-23 00:00:00,
21388669,Epoetin,紅血球增生素；紅血球生成素,Hematological agents: Hematopoietic agents,2025-07-23 00:00:00,
21388670,Haematopoietin,紅血球增生素；紅血球生成素,Hematological agents: Hematopoietic agents,2025-07-23 00:00:00,
21388671,Haemopoietin,紅血球增生素；紅血球生成素,Hematological agents: Hematopoietic agents,2025-07-23 00:00:00,
21388672,Darbepoetin Alfa,達倍紅血球增生素α；達倍紅血球生成素α,Hematological agents: Hematopoietic agents,2025-07-23 00:00:00,
21388673,Methoxy Polyethylene Glycol-Epoetin Beta,紅血球增生素β^聚乙二醇；紅血球生成素β^聚乙二醇,Hematological agents: Hematopoietic agents,2025-07-23 00:00:00,
21388674,Filgrastim,斐白血球增生素,Hematological agents: Hematopoietic agents,2025-07-23 00:00:00,
21388675,Lenograstim,萊諾白血球增生素,Hematological agents: Hematopoietic agents,2025-07-21 00:00:00,
21388676,Pegfilgrastim,斐白血球增生素^聚乙二醇,Hematological agents: Hematopoietic agents,2025-07-21 00:00:00,
21388677,Plerixafor,雙四氮環卯甲苯,Hematological agents: Hematopoietic agents,2025-07-21 00:00:00,
21388678,Eltrombopag,吡唑血小板促增素；羧聯苯腙吡唑酮,Hematological agents: Hematopoietic agents,2025-07-21 00:00:00,
21388679,Romiplostim,r融合血小板促增素,Hematological agents: Hematopoietic agents,2025-07-21 00:00:00,
21388680,"Antihemophilic Factor Human (Factor VIII, AHF)",第八凝血因子,Hematological agents: Agents used in hemophilia,2025-07-21 00:00:00,
21388681,Moroctocog alfa,r第八凝血因子α,Hematological agents: Agents used in hemophilia,2025-07-21 00:00:00,
21388682,Coagulation factor IX,第九凝血因子,Hematological agents: Agents used in hemophilia,2025-07-21 00:00:00,
21388683,Christmas factor,第九凝血因子,Hematological agents: Agents used in hemophilia,2025-07-21 00:00:00,
21388684,Eftrenonacog alfa,r融合第九凝血因子α,Hematological agents: Agents used in hemophilia,2025-07-21 00:00:00,
21388685,Nonacog gamma,r第九凝血因子γ,Hematological agents: Agents used in hemophilia,2025-07-21 00:00:00,
21388686,Coagulation factor VII,第七凝血因子,Hematological agents: Agents used in hemophilia,2025-07-21 00:00:00,
21388687,Proconvertin,第七凝血因子,Hematological agents: Agents used in hemophilia,2025-07-21 00:00:00,
21388688,Eptacog Alfa,r第七凝血因子α,Hematological agents: Agents used in hemophilia,2025-07-21 00:00:00,
21388689,von Willebrand factor (vWF),馮威里氏因子；類血友病因子,Hematological agents: Agents used in hemophilia,2025-09-19 00:00:00,
21388690,Roxadustat,柔抑腎貧血；異喹啉抑腎貧血,Hematological agents: Hypoxia-inducible factor prolyl hydroxylase inhibitors (HIF-PHIs),2025-09-19 00:00:00,
21388691,Vadadustat,伐達抑腎貧血；吡啶抑腎貧血,Hematological agents: Hypoxia-inducible factor prolyl hydroxylase inhibitors (HIF-PHIs),2025-07-16 00:00:00,
21388692,Anagrelide,咪唑酮喹唑啉,Hematological agents: Others,2025-07-16 00:00:00,
21388693,Eculizumab,依治補體擬單抗,Hematological agents: Others,2025-07-16 00:00:00,
21388694,Luspatercept,融活素截貧血,Hematological agents: Others,2025-07-16 00:00:00,
21388695,Flavoxate,黃酮酸哌啶酯,Urologic Agents: Drugs for urinary frequency and incontinence,2025-07-16 00:00:00,
21388696,Oxybutynin,羥胺丁炔酯,Urologic Agents: Drugs for urinary frequency and incontinence,2025-09-19 00:00:00,
21388697,Tolterodine,甲酚苯丙胺,Urologic Agents: Drugs for urinary frequency and incontinence,2025-09-19 00:00:00,
21388698,Propiverine,丙哌維淋；丙醚苯杏酸哌啶酯,Urologic Agents: Drugs for urinary frequency and incontinence,2025-09-19 00:00:00,
21388699,Solifenacin,鎖利紛納欣；異喹甲酸𪡓啶酯,Urologic Agents: Drugs for urinary frequency and incontinence,2025-07-16 00:00:00,
21388700,Trospium chloride,顛茄哌鉻氯鹽；哌咯擬顛茄鐱氯鹽,Urologic Agents: Drugs for urinary frequency and incontinence,2025-07-16 00:00:00,
21388701,Mirabegron,噻唑醯胺洛,Urologic Agents: Drugs for urinary frequency and incontinence,2025-07-16 00:00:00,
21388702,Silodosin,淅落欣；兒茶醚吲哚洛,Urologic Agents: Drugs used in benign prostatic hypertrophy,2025-07-16 00:00:00,
21388703,Avanafil,奧泛納啡；苯吡咯二嘧啶,Urologic Agents: Drugs for erectile dysfunction [Phosphodiesterase inhibitors：PDE5 inhibitors],2025-09-19 00:00:00,
21388704,Bethanechol,β-甲膽鹼胺酯,Urologic Agents: Others,2025-07-16 00:00:00,
21388705,Phenazopyridine,苯偶氮吡啶,Urologic Agents: Others,2025-07-16 00:00:00,
21388706,Pentosan polysulfate,聚戊醣硫酸酯鈉鹽,Urologic Agents: Others,2025-07-16 00:00:00,
21388707,Tiopronin,硫代丙甘肽,Urologic Agents: Others,2025-07-16 00:00:00,
21388708,Norepinephrine,原腎上腺素,Cardiotonic agents: adrenergic agonists,2025-07-14 00:00:00,
21388709,Noradrenaline,原腎上腺素,Cardiotonic agents: adrenergic agonists,2025-07-14 00:00:00,
21388710,Alanyl Glutamine,丙麩醯二肽,"Nutritional agents, electrolytic, and water balance",2025-10-20 00:00:00,
21388711,Alfacalcidol,鈣二醇；羥維生素D<sub>3</sub>,"<p>Nutritional agents, electrolytic, and water balance</p>",2025-08-18 00:00:00,
21388712,1-hydroxycholecalciferol,羥維生素D<sub>3</sub>；鈣二醇,"<p>Nutritional agents, electrolytic, and water balance</p>",2025-08-18 00:00:00,
21388713,Calcitriol,鈣三醇；二羥維生素D<sub>3</sub>,"<p>Nutritional agents, electrolytic, and water balance</p>",2025-08-18 00:00:00,
21388714,"1,25-dihydroxycholecalciferol",二羥維生素D<sub>3</sub>；鈣三醇,"<p>Nutritional agents, electrolytic, and water balance</p>",2025-08-18 00:00:00,
21388715,Ascorbic qcid,抗壞血酸；維生素C,"Nutritional agents, electrolytic, and water balance",2025-08-18 00:00:00,
21388716,Calcium polystyrene sulfonate,聚苯乙烯磺酸鈣鹽,"Nutritional agents, electrolytic, and water balance",2025-08-18 00:00:00,
21388717,Levocarnitine,l-肉鹼,"Nutritional agents, electrolytic, and water balance",2025-08-18 00:00:00,
21388718,Citrulline,瓜胺酸,"Nutritional agents, electrolytic, and water balance",2025-08-18 00:00:00,
21388719,Lanthanum carbonate,鑭碳酸鹽,"Nutritional agents, electrolytic, and water balance",2025-10-20 00:00:00,
21388720,Pyridoxal Phosphate,吡哆醛膦酸酯,"Nutritional agents, electrolytic, and water balance",2025-08-18 00:00:00,
21388721,Pyridoxine,吡哆醇；維生素B<sub>6</sub>,"<p>Nutritional agents, electrolytic, and water balance</p>",2025-10-20 00:00:00,
21388722,Sodium phenylbutyrate,苯丁酸鈉,"Nutritional agents, electrolytic, and water balance",2025-08-18 00:00:00,
21388723,Thiamine,硫胺；維生素B<sub>1</sub>；噻銼嘧啶胺,"<p>Nutritional agents, electrolytic, and water balance</p>",2025-08-18 00:00:00,
21388724,Thiamine tetrahydrofurfuryl disulfide,呋硫裂硫胺；呋硫裂噻銼胺,"Nutritional agents, electrolytic, and water balance",2025-08-18 00:00:00,
21388725,Fursultiamine,呋硫裂硫胺；呋硫裂噻銼胺,"Nutritional agents, electrolytic, and water balance",2025-08-18 00:00:00,
21388726,Riluzole,瑞氟苯噻唑,Drug used in amyotrophic lateral sclerosis,2025-08-18 00:00:00,
21388727,Tetrabenazine,四氫喹【口巾】酮；氫苯喹啉酮,Drug used in hyperkinetic movement disorders,2025-08-18 00:00:00,
21388728,Dopamine,多巴胺；酚酪胺,Drugs used to treat circulatory failure,2025-10-20 00:00:00,
21388729,Dobutamine,丁酚多巴胺；丁酚酪胺,Drugs used to treat circulatory failure,2025-10-20 00:00:00,
21388730,Antazoline,二苯抗組胺；二苯擬組胺,"Ear, Nose, and Throat (ENT) Preparations",2025-08-14 00:00:00,
21388731,Naphazoline,萘甲咪唑,"Ear, Nose, and Throat (ENT) Preparations",2025-08-14 00:00:00,
21388732,Oxymetazoline ,羥甲苄咪唑,"Ear, Nose, and Throat (ENT) Preparations",2025-08-14 00:00:00,
21388733,Tetryzoline,四氫萘咪唑,"Ear, Nose, and Throat (ENT) Preparations",2025-08-14 00:00:00,
21388734,Tetrahydrozoline,四氫萘咪唑,"Ear, Nose, and Throat (ENT) Preparations",2025-08-14 00:00:00,
21388735,Ivabradine,艾芙徐脈呯,Cardiac therapy: Other cardiac preparations,2025-10-20 00:00:00,
21388736,Ubidecarenone,泛醌；輔酶Q<sub>10</sub>,<p>Cardiac therapy: Other cardiac preparations</p>,2025-08-18 00:00:00,
21388737,ubiquinone,泛醌；輔酶Q<sub>10</sub>,<p>Cardiac therapy: Other cardiac preparations</p>,2025-08-18 00:00:00,
21388738,coenzyme Q<sub>10</sub>,輔酶Q<sub>10</sub>；泛醌,<p>Cardiac therapy: Other cardiac preparations</p>,2025-08-18 00:00:00,
21388739,Midodrine,胺醯甲氧洛；甲氧洛甘肽,Antihypotensives,2025-10-20 00:00:00,
21388740,Dicyclomine,二環酯胺；二環己甲酯胺,Gastrointestinal Agents: Antispasmodics,2025-10-20 00:00:00,
21388741,Dicycloverine,二環酯胺；二環己甲酯胺,Gastrointestinal Agents: Antispasmodics,2025-10-20 00:00:00,
21388742,Mebeverine,美倍維寧；兒茶酯丁他命,Gastrointestinal Agents: Antispasmodics,2025-10-20 00:00:00,
21388743,Flopropione,丙醯間三酚；丙醯間苯三酚,Gastrointestinal Agents: Antispasmodics,2025-10-20 00:00:00,
21388744,Dioctahedral Smectite,雙膨潤石,Gastrointestinal Agents: Antidiarrheals,2025-08-18 00:00:00,
21388745,Diosmectite,雙膨潤石,Gastrointestinal Agents: Antidiarrheals,2025-08-18 00:00:00,
21388746,Loperamide,氯哌啶醯胺,Gastrointestinal Agents: Antidiarrheals,2025-08-18 00:00:00,
21388747,Racecadotril,前硫苯丁甘醯胺；醯硫苯丁甘酯,Gastrointestinal Agents: Antidiarrheals,2025-10-20 00:00:00,
21388748,Sterculia,刺梧桐膠,Gastrointestinal Agents: Laxatives,2025-08-18 00:00:00,
21388749,Gum karaya,刺梧桐膠,Gastrointestinal Agents: Laxatives,2025-08-18 00:00:00,
21388750,Policresulen,聚甲酚磺酸,Gastrointestinal Agents: Agents Used to Treat Hemorrhoid,2025-08-18 00:00:00,
21388751,Cinchocaine,喹啉柯鹼；喹啉卡因,Gastrointestinal Agents: Agents Used to Treat Hemorrhoid,2025-08-18 00:00:00,
21388752,Dibucaine,喹啉柯鹼；喹啉卡因,Gastrointestinal Agents: Agents Used to Treat Hemorrhoid,2025-08-18 00:00:00,
21388753,Cevimeline,協維美霖；㗁噻吩𪡓啶,Gastrointestinal Agents: Others,2025-08-18 00:00:00,
21388754,Mesalamine,間水楊酸胺,Gastrointestinal Agents: Others,2025-10-20 00:00:00,
21388755,Mesalazine,間水楊酸胺,Gastrointestinal Agents: Others,2025-10-20 00:00:00,
21388756,Simethicone,聚甲矽醚-矽膠；聚甲矽氧烷-矽膠,Gastrointestinal Agents: Others,2025-11-17 00:00:00,
21388757,Simeticone,聚甲矽醚-矽膠；聚甲矽氧烷-矽膠,Gastrointestinal Agents: Others,2025-11-17 00:00:00,
21388758,Ursodiol,去氧熊膽酸；去氧表膽酸,Gastrointestinal Agents: Others,2025-08-18 00:00:00,
21388759,Ursodeoxycholic Acid,去氧熊膽酸；去氧表膽酸,Gastrointestinal Agents: Others,2025-08-18 00:00:00,
21388760,D-Mannitol,甘露醇,Antihypertensives: Diuretics,2025-08-20 00:00:00,
21388761,Glycerin,甘油；丙三醇,Antihypertensives: Diuretics,2025-08-20 00:00:00,
