ID,英文名稱,中文名稱,圖片,類號,化學式,更新日期
508736,sodium perborate {peroxoborate; peroxyborate},過硼酸鈉 {過氧硼酸鈉},,化學化合物,"<Font html:Color=""#000000"">NaBO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508737,sodium pentaborate,五硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">NaB</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">8</Font></Sub>",2012-11-26
508738,sodium hexaborate,六硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">Na</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">10</Font></Sub>",2012-11-26
508739,sodium fluoroborate,氟硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">Na[BF</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
508740,sodium metaborate,偏硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">NaBO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508741,sodium hypoborate,次硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">(NaOBH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508743,sodium diborate,二硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">Na</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub>",2012-11-26
508744,sodium diborane,二硼烷[二]鈉,,化學化合物,"<Font html:Color=""#000000"">Na</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
508745,sodium decaborate,十硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">(NaB</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">8</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508746,sodium boron salicylate; sodium borosalicylate,硼柳酸鈉；硼水楊酸鈉,,化學化合物,"<Font html:Color=""#000000"">Na[B(C</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
508747,sodium borohydride; sodium boron hydride,硼氫化鈉,,化學化合物,"<Font html:Color=""#000000"">NaBH</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508748,p-tolylboron difluoride,二氟化對甲苯硼; 二氟化對【草+叨】硼,,化學化合物,"<Font html:Color=""#000000"">CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">BF</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
508749,rubidium tetraphenylborate,四苯硼酸銣,,化學化合物,"<Font html:Color=""#000000"">Rb[B(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
508751,silver tetraborate,四硼酸銀,,化學化合物,"<Font html:Color=""#000000"">Ag</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
