ID,英文名稱,中文名稱,圖片,中國大陸譯名,國籍,專長,生歿年,更新日期
3541187,"Lyapunov, Sergei",李亞普諾夫,,利亚普诺夫,俄國,作曲,1859-1924,2018-05-30
3541188,"Lyatoshynsky, Boris Nikolayevich",李亞托辛斯基,,利亚托辛斯基,烏克蘭,作曲,1894-1968,2018-05-30
3541189,"Lympany, Moura",林帕妮,,林帕尼,英國,鋼琴,1916-2005,2018-05-30
3541190,"Lysenko, Mykola",李森科,,李森科,烏克蘭,作曲,1842-1912,2018-05-30
3541191,"Lysy, Alberto",李西,,李西,阿根廷,小提琴,1935-2009,2018-05-30
3541192,"Maag, Peter",馬格,,马格,瑞士,指揮,1919-2001,2018-05-30
3541193,"Maazel, Lorin",馬捷爾,,马捷尔,美國,指揮；小提琴,1930-2014,2018-05-30
3541194,"MacDonald, Malcolm",麥克道納,,麦克唐纳,英國,作曲；著作,1916-1992,2018-05-30
3541195,"MacDowell, Edward",麥克道爾,,麦克道尔,美國,作曲；鋼琴,1860-1908,2018-05-30
3541196,"MacFarren, George Alexander",麥克法倫,,麦克法伦,英國,音樂理論；作曲,1813-1887,2018-05-30
3541197,"Machaut, Guillaumede",馬舒,,马肖,法國,作曲,1300-1377,2018-05-30
3541198,"Mackerras, Charles",馬克拉斯,,麦克拉斯,澳大利亞,指揮,1925-2010,2018-05-30
3541199,"Maderna, Bruno",馬代爾納,,马代尔纳,義大利,作曲,1920-1973,2018-05-30
3541200,"Maelzel, Johann Nepomuk",梅采爾,,梅尔策尔,德國,拍節機發明,1772-1838,2018-05-30
3541201,"Magaloff, Nikita",馬加洛夫,,马加洛夫,瑞士,鋼琴,1912-1992,2018-05-30
3541202,"Magne, Michel",馬涅,,马涅,法國,作曲,1930-1984,2018-05-30
3541203,"Mahler, Alma",馬勒，阿爾瑪,,马勒，阿尔玛,奧地利,作曲,1879-1964,2018-05-30
3541204,"Mahler, Gustav",馬勒，古斯塔夫,,马勒，古斯塔夫,奧地利,作曲；指揮,1860-1911,2018-05-30
3541205,"Mainardi, Enrico",馬伊納第,,马伊纳尔迪,義大利,大提琴；作曲,1897-1976,2018-05-30
3541206,"Maisky, Mischa",麥斯基,,麦斯基,以色列,大提琴,1948-,2018-05-30
3541207,"Malartin, Erkki Gustar",馬拉廷,,马拉廷,芬蘭,作曲,1875-1937,2018-05-30
3541208,Małcuzynski，Witold,馬烏楚任斯基,,马乌楚任斯基,波蘭,鋼琴,1914-1977,2018-05-30
3541209,"Malipiero, Gian Francesco",馬里皮耶洛，蔣·法蘭切斯科,,马利皮耶罗，吉安·弗朗切斯科,義大利,作曲,1882-1973,2018-05-30
3541210,"Malipiero, Riccardo",馬里皮耶洛，里卡多,,马利皮耶罗，里卡尔多,義大利,作曲,1914-2003,2018-05-30
3541211,"Malko, Nicolai",馬爾可,,马尔科,美國,指揮,1883-1961,2018-05-30
3541212,"Mamiya, Michio",間宮芳生,,间宫芳生,日本,作曲,1929-,2018-05-30
3541213,"Man, Roderikde",曼,,曼,印尼,作曲,1941-,2018-05-30
3541214,"Mandyczewski, Eusebius",曼迪切夫斯基,,曼迪切夫斯基,羅馬尼亞,音樂學,1857-1929,2018-05-30
3541215,"Mannino, Franco",曼尼諾,,曼尼诺,義大利,作曲；指揮,1924-2005,2018-05-30
3541216,"Mantovani, Annunzio",曼托瓦尼,,曼托瓦尼,英國,指揮；編曲,1905-1980,2018-05-30
3541217,"Marcello, Alessandro",馬爾切羅，亞歷山德羅,,马尔切洛，亚历山德罗,義大利,作曲,1669-1747,2018-05-30
3541218,"Marcello, Benedetto",馬爾切羅，貝內代托,,马尔切洛，贝内代托,義大利,作曲；小提琴,1686-1739,2018-05-30
3541219,"Marchal, André",馬沙爾,,马沙尔,法國,管風琴；作曲,1894-1980,2018-05-30
3541220,"Marchena, Enriquede",馬杰納,,马切纳,多明尼加,作曲,1908-1988,2018-05-30
3541221,"Marek, Czeslaw",馬雷克,,马雷克,波蘭,作曲,1891-1985,2018-05-30
3541222,"Mario, Giovanni Matteo",馬里歐,,马里奥,義大利,男高音,1818-1883,2018-05-30
3541223,"Markevich, Igor",馬克維奇,,马尔克维奇,俄國,作曲；指揮,1912-1983,2018-05-30
3541224,"Marriner, Neville",馬利納,,马里纳,英國,指揮；小提琴,1924-,2018-05-30
3541225,"Marschalk, Max",馬夏克,,马沙尔克,德國,音樂著作；作曲,1863-1940,2018-05-30
3541226,"Marteau, Henri",馬托,,马尔托,瑞士,小提琴；作曲,1874-1934,2018-05-30
3541227,"Martín y Soler,  Vicente",馬丁·伊·索列爾,,马丁·伊·索列尔,西班牙,作曲,1754-1806,2018-05-30
3541228,"Martin, Frank",馬坦,,马蒂尼,瑞士,作曲,1890-1974,2018-05-30
3541229,"Martinelli, Giovanni",馬悌內里,,马蒂内里,義大利,男高音,1885-1969,2018-05-30
3541230,"Martinon, Jean",馬悌農,,马蒂农,法國,小提琴；指揮；作曲,1910-1976,2018-05-30
