ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3603849,"Sandí Meneses, Luis",桑迪‧梅內賈斯,,音樂,墨西哥,2018-11-20
3603850,"Sandoval, Carlos",桑多巴爾,,音樂,墨西哥,2018-11-20
3603851,"Sanromá, Jesús María",桑若馬,,音樂,波多黎各,2018-11-20
3603852,"Santa Cruz, Domingo",桑塔‧克儒茲,,音樂,智利,2018-11-20
3603853,"Sanz, Gaspar",桑茲,,音樂,西班牙,2018-11-20
3603854,"Schifrin, Lalo",斯奇弗林,,音樂,阿根廷,2018-11-20
3603855,"Schiuma, Alfredo",斯齊悟馬,,音樂,阿根廷,2018-11-20
3603856,"Schwendinger, Laura Elise",許溫丁額,,音樂,墨西哥,2018-11-20
3603857,"Sciammarella, Valdo",斯吉阿馬瑞亞,,音樂,阿根廷,2018-11-20
3603858,"Segovia, Andrés",賽哥比亞,,音樂,西班牙,2018-11-20
3603859,"Senanes, Gabriel",塞納內斯,,音樂,阿根廷,2018-11-20
3603860,"Serebrier, José",賽瑞布里耶爾,,音樂,烏拉圭,2018-11-20
3603861,"Simonovich, Alejandro",西蒙諾維奇,,音樂,阿根廷,2018-11-20
3603862,"Solare, Juan María",索拉瑞,,音樂,阿根廷,2018-11-20
3603863,"Soler, Antonio",索雷爾,,音樂,西班牙,2018-11-20
3603864,"Sor, Fernando",索爾,,音樂,西班牙,2018-11-20
3603865,"Soriano, Gonzalo",索利里亞諾,,音樂,西班牙,2018-11-20
3603866,"Soro, Enrique",索若,,音樂,智利,2018-11-20
3603867,"Sorozabal, Pablo",索若札巴爾,,音樂,西班牙,2018-11-20
3603868,"Supervia, Conchita",蘇佩爾比亞,,音樂,西班牙,2018-11-20
3603869,"Surinach, Carlos",蘇里納奇,,音樂,西班牙,2018-11-20
3603870,"Szeryng, Henryk",雪倫格,,音樂,墨西哥,2018-11-20
3603871,"Tárrega, Francisco",塔瑞加,,音樂,西班牙,2018-11-20
3603872,"Taube, Carlo",陶貝,,音樂,西班牙,2018-11-20
3603873,"Tauriello, Antonio",陶里耶悠,,音樂,阿根廷,2018-11-20
3603874,"Tejeda, Eduardo",特黑達,,音樂,阿根廷,2018-11-20
3603875,"Tenreiro, Alfonso",田瑞伊若,,音樂,委內瑞拉,2018-11-20
3603876,"Terradellas, Domènec",特拉德亞斯,,音樂,西班牙,2018-11-20
3603877,"Terzian, Alicia",特爾茲安,,音樂,阿根廷,2018-11-20
3603878,"Toldrà, Eduard",托爾德拉,,音樂,西班牙,2018-11-20
3603879,"Moreno Torroba, Federico",莫瑞諾‧托若巴,,音樂,西班牙,2018-11-20
3603880,"Touzet, René",投澤特,,音樂,古巴,2018-11-20
3603881,"Turina, Joaquín",圖里納,,音樂,西班牙,2018-11-20
3603882,"Ugarte, Floro Meliton",烏加爾特,,音樂,阿根廷,2018-11-20
3603883,"Uribe-Holguín, Guillermo",烏利貝-歐爾京,,音樂,哥倫比亞,2018-11-20
3603884,"Valls i Galan,Francesc",巴利斯‧伊‧加蘭,,音樂,西班牙,2018-11-20
3603885,"Valverde, Joaquín",巴爾貝爾德,,音樂,西班牙,2018-11-20
3603886,"Vázquez, Juan",巴茲克茲,,音樂,西班牙,2018-11-20
3603887,"Venegas (Lloveras), Guillermo",貝內加斯‧悠貝拉斯,,音樂,波多黎各,2018-11-20
3603888,"de Victoria, Tomás Luis",德‧比克托里亞,,音樂,西班牙,2018-11-20
3603889,"Viera, Julio",比也拉,,音樂,阿根廷,2018-11-20
3603890,"Villanueva, Felipe",比亞努也巴,,音樂,墨西哥,2018-11-20
3603891,"Viñao, Ezequiel",比倪奧,,音樂,阿根廷,2018-11-20
3603892,"Vinay, Ramoón",比奈,,音樂,智利,2018-11-20
3603893,"Vives i Batlle, Jordi",比貝斯˙伊˙巴特葉,,音樂,西班牙,2018-11-20
3603894,"Williams, Alberto",威廉斯,,音樂,阿根廷,2018-11-20
3603895,"Yepes, Narciso",葉佩斯,,音樂,西班牙,2018-11-20
3603896,"Zabaleta, Nicanor",札巴雷塔,,音樂,西班牙,2018-11-20
3603897,"Zalba Ibáñez, Martín",札爾巴˙伊巴聶茲,,音樂,西班牙,2018-11-20
3603898,"Zavala Gironés, Mercedes",札巴拉‧希羅內斯,,音樂,西班牙,2018-11-20
3603899,"Zorzi, Juan Carlos",佐爾茲,,音樂,阿根廷,2018-11-20
