ID,英文名稱,中文名稱,圖片,中國大陸譯名,類別,更新日期
1824552,Fiedler's contingency model,費德勒權變模式；費德勒權變模型；費德勒權變領導模式；費德勒權變領導模型,,,,2013-05-01
1824553,field theory,場地論；場論,,,,2013-05-01
1824554,figurehead,虛位領導人；形式領導人,,,,2013-05-01
1824555,finance,財務,,,,2013-05-01
1824556,financial accounting,財務會計,,,,2013-05-01
1824557,financial budgeting,財務預算,,,,2013-05-01
1824558,financial control,財務控制,,,,2013-05-01
1824559,financial management,財務管理,,,,2013-05-01
1824560,financial manager,財務經理,,,,2013-05-01
1824561,financial report,財務報告,,,,2013-05-01
1824562,financial reward,財務性報酬,,,,2013-05-01
1824563,financial statement,財務報表,,,,2013-05-01
1824564,financial strategy,財務策略,,,,2013-05-01
1824565,first mover,先進者；首動者,,,,2013-05-01
1824566,first-line manager,第一線管理者,,,,2013-05-01
1824568,first-mover disadvantage,首動者劣勢；先佔劣勢,,,,2013-05-01
1824569,fiscal policy,財政政策,,,,2013-05-01
1824570,five-forces analysis,五力分析,,,,2013-05-01
1824571,five-forces model,五力模式；五力模型,,,,2013-05-01
1824572,fixed asset,固定資產,,,,2013-05-01
1824573,fixed cost,固定成本,,,,2013-05-01
1824574,fixed salary,固定薪資,,,,2013-05-01
1824575,fixed-point reordering system,定點再購系統；定點再購制度,,,,2013-05-01
1824576,flat organization structure,扁平組織結構,,,,2013-05-01
1824577,flat structure,扁平結構,,,,2013-05-01
1824578,flattening organization,扁平化組織,,,,2013-05-01
1824579,flexible benefit,彈性福利,,,,2013-05-01
1824580,flexible budget,彈性預算,,,,2013-05-01
1824581,flexible compensation,彈性薪酬,,,,2013-05-01
1824582,flexible manufacturing,彈性製造,,,,2013-05-01
1824583,flexible manufacturing system{=FMS},彈性製造系統；彈性製造制度,,,,2013-05-01
