ID,英文名稱,中文名稱,圖片,化學式,更新日期
617569,zinc silicofluoride,[六]矽氟化鋅 {氟矽酸鋅},,"<Font html:Color=""#000000"">ZnSiF</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
617570,zinc salicylate,柳酸鋅；水楊酸鋅,,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617571,zinc selenate,硒酸鋅,,"<Font html:Color=""#000000"">ZnSeO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617572,zinc selenide,硒化鋅,,ZnSe,2012-11-26
617574,zinc rhodanate,硫氰酸鋅,,"<Font html:Color=""#000000"">Zn(SCN)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617575,zinc pyrophosphate,焦磷酸鋅,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">P</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
617576,zinc propionate,丙酸鋅,,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">CO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617577,zinc potassium iodide,[四]碘鋅化鉀；碘化鋅鉀,,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">[ZnI</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
617578,zinc plumbate,鉛酸鋅,,"<Font html:Color=""#000000"">ZnPbO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617579,zinc potassium cyanide,[四]氰鋅化鉀,,"<Font html:Color=""#000000"">K</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">[Zn(CN)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
617580,zinc picrate,苦味酸鋅,,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">N</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617581,zinc phosphite,亞磷酸鋅,,"<Font html:Color=""#000000"">ZnHPO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617582,zinc phosphate,磷酸鋅,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(PO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
