ID,英文名稱,中文名稱,圖片,備註,更新日期
159934,Pyrrosia polydactyois Ching,楓葉石葦,,,2012-11-26
159935,Pyrrosia petiolosa(Christ)Ching;Polypodium petiolosum Christ et Baroni,有柄石葦;石葦(本經別錄),,,2012-11-26
159936,Pyrrosia pekinensis(C.Chr.)Ching;Cyclophorus pekinensis C.Chr.;P.davidrii(Gies)Ching,北平石葦;小石葦,,,2012-11-26
159937,Pyrrosia mollis var mollissima(Christ)Ching,大葉石葦,,,2012-11-26
159938,Pyrrosia mollis (Kze.)Ching,柔軟石葦,,,2012-11-26
159939,Pyrrosia matsudai Tagawa,松田氏石葦,,,2012-11-26
159940,Pyrrosia martinii(Christ)Ching,短圓石葦,,,2012-11-26
159941,Pyrrosia lingua(Thunb.)Farw.;P.chinensis Mirbel;Acrostichum lingua Thunb.;Cyclophorus ligua Desv.,石葦;石劍箬;小石葦;金背茶匙,,,2012-11-26
159942,Pyrrosia linearifolia Ching. Var.heterolepis Tagawa,臺灣線葉石葦,,,2012-11-26
159943,Pyrrosia linearifolia Ching,線葉石葦,,,2012-11-26
159944,Pyrrosia gralla(Gies)Ching,西南石葦(中藥誌);石葦(雲南),,,2012-11-26
159945,Pyrrosia edulis A.DC.,檀梨;油葫蘆,,,2012-11-26
159946,Pyrrosia drakeana(Franch.)Ching;Polypodium drankeanum Franch,毡毛石葦,,,2012-11-26
159947,Pyrrosia davidii (Gies)Ching;P.pekinensis(C.Chr.)Ching,北平石葦,,,2012-11-26
159948,Pyrrosia assimilis (Bak.)Ching,相似石葦,,,2012-11-26
159949,Pyrrosia adnascens(Sas.)Ching,貼生石葦;石頭蛇,,,2012-11-26
159950,Pyrrosia,檀梨屬(檀香科),,,2012-11-26
159952,pyrroline,二氫吡咯,,,2012-11-26
159953,Pyrrophyta;Dinoflagellates and Cryptomon-ads.;fire algae,黃褐藻門,,,2012-11-26
159954,pyrrole ring,吡咯核,,,2012-11-26
