ID,英文名稱,中文名稱,圖片,一般職稱類別,職等,備註,更新日期
1501438,Safety and Industrial Hygiene Officer,工業安全衛生師,,生產事業,,,2012-11-26
1501439,Industrial Safety Inspector,工業安全檢查員,,生產事業,,,2012-11-26
1501440,Industrial Relations Clerk,工業關係管理員,,生產事業,,,2012-11-26
1501441,Industrial Relations Officer,工業關係管理師,,生產事業,,,2012-11-26
1501442,Well Technician,井務技術員,,生產事業,,,2012-11-26
1501443,Line Technician,內外線技術員,,生產事業,,,2012-11-26
1501444,Line Technician,內線技術員,,生產事業,,,2012-11-26
1501445,Driver,內燃機車駕駛員,,生產事業,,,2012-11-26
1501446,Engine Technician,內燃機維修操作員,,生產事業,,,2012-11-26
1501447,Public Relations Clerk,公共關係管理員,,生產事業,,,2012-11-26
1501448,Public Relations Officer,公共關係管理師,,生產事業,,,2012-11-26
1501449,Chemical Technician,分析技術員,,生產事業,,,2012-11-26
1501450,Chemical Engineer ,化學工程師,,生產事業,,,2012-11-26
1501451,Chemical  Inspector,化學品檢驗員,,生產事業,,,2012-11-26
1501452,Chemist,化學師,,生產事業,,,2012-11-26
1501453,Executive Manager,天然氣事業部執行長,,生產事業,,,2012-11-26
1501454,Documents Clerk,文書管理員,,生產事業,,,2012-11-26
1501455,Carpenter,木作技術員,,生產事業,,,2012-11-26
1501456,Water Treatment Technician,水處理技術員,,生產事業,,,2012-11-26
1501457,Water Treatment Technician,水軟化技術員,,生產事業,,,2012-11-26
1501458,Chief  Geologist,主任地質師,,生產事業,,,2012-11-26
1501459,Chief  Inspector,主任稽核,,生產事業,,,2012-11-26
1501460,Accountant,主辦會計,,生產事業,,,2012-11-26
1501461,Cashier Clerk ,出納員,,生產事業,,,2012-11-26
1501462,Cashier,出納師,,生產事業,,,2012-11-26
1501463,Attendant,加油站營業員,,生產事業,,,2012-11-26
1501464,Gas Instrument Repair Technician,加油設備修護員,,生產事業,,,2012-11-26
1501465,Attendant,加氣員,,生產事業,,,2012-11-26
1501466,Pump Operator,司泵員,,生產事業,,,2012-11-26
1501467,Cook,司廚員,,生產事業,,,2012-11-26
1501468,Furnace Technician,司爐技術員,,生產事業,,,2012-11-26
1501469,Salvage Operator ,打撈技術員,,生產事業,,,2012-11-26
1501470,Executive Manager,石化事業部執行長,,生產事業,,,2012-11-26
1501471,Planning Clerk ,企劃控制員,,生產事業,,,2012-11-26
1501472,Printing Technician,印刷技術員,,生產事業,,,2012-11-26
1501473,Geochemical Engineer ,地球化學探勘師,,生產事業,,,2012-11-26
1501474,Geophysical Engineer ,地球物理探勘師,,生產事業,,,2012-11-26
1501475,Geological Technician,地質技術員,,生產事業,,,2012-11-26
1501476,Geologist,地質師,,生產事業,,,2012-11-26
1501477,Geology Survey Technician,地質測繪員,,生產事業,,,2012-11-26
1501478,Refrigeration Technician,冷作技術員,,生產事業,,,2012-11-26
1501479,Refrigerating Machine Technician,冷凍機操作員,,生產事業,,,2012-11-26
1501480,Technician,技術員,,生產事業,,,2012-11-26
1501481,Mechanic,汽車維修技術員,,生產事業,,,2012-11-26
1501482,Soapification Technician,皂化技術員,,生產事業,,,2012-11-26
1501483,Lathe Technician,車床技術員,,生產事業,,,2012-11-26
1501484,Pipe Patrol,巡管員,,生產事業,,,2012-11-26
1501485,Blowout Prevention Technician,防噴技術員,,生產事業,,,2012-11-26
1501486,General Service Officer,事務管理師,,生產事業,,,2012-11-26
1501487,Sampling Technician,取樣技術員,,生產事業,,,2012-11-26
1501488,Tugboat Pilot,拖船駕駛員,,生產事業,,,2012-11-26
1501489,Mason,泥水技術員,,生產事業,,,2012-11-26
1501490,Mud Technician,泥漿技術員,,生產事業,,,2012-11-26
1501491,Legal Affairs Officer,法務管理師,,生產事業,,,2012-11-26
1501492,Spill Technician,油污泥處理技術員,,生產事業,,,2012-11-26
1501493,Executive Manager,油品行銷事業部執行長,,生產事業,,,2012-11-26
1501494,Fuel Loading  Operator,油料裝卸員,,生產事業,,,2012-11-26
1501495,Instrument Repair Technician,油氣儀表檢修員,,生產事業,,,2012-11-26
1501496,Painter,油漆員,,生產事業,,,2012-11-26
1501497,Oil Barge Pilot,油駁駕駛員,,生產事業,,,2012-11-26
1501498,Oil  Barge Crew,油駁操作員,,生產事業,,,2012-11-26
1501499,Materials Clerk,物料管理員,,生產事業,,,2012-11-26
1501500,Materials Officer,物料管理師,,生產事業,,,2012-11-26
1501501,Seismic Technician,物探技術員,,生產事業,,,2012-11-26
1501502,Seismic Data processor,物探資料處理員,,生產事業,,,2012-11-26
1501503,Executive Manager,保全事業部執行長,,生產事業,,,2012-11-26
1501504,Guard,保全員,,生產事業,,,2012-11-26
1501505,Quality Control Technician,品質管制員,,生產事業,,,2012-11-26
1501506,Ethic Officer,政風,,生產事業,,,2012-11-26
1501507,Researcher ,研究員,,生產事業,,,2012-11-26
1501508,Electric Logging Technician,穿測技術員,,生產事業,,,2012-11-26
1501509,Heavy Equipment Mechanic,重機械修理員,,生產事業,,,2012-11-26
1501510,Warehouse Clerk,倉儲管理員,,生產事業,,,2012-11-26
1501511,Acetylene Welder,氣焊技術員,,生產事業,,,2012-11-26
1501512,Fire Fighter,消防技術員,,生產事業,,,2012-11-26
1501513,Fire Prevention Specialist,消防師,,生產事業,,,2012-11-26
1501514,Special Vehicle Driver,特種汽車駕駛員,,生產事業,,,2012-11-26
1501515,Secretary,秘書,,生產事業,,,2012-11-26
1501516,Operator,航空加油員,,生產事業,,,2012-11-26
1501517,Repair Station Technician,航空加油設備修護員,,生產事業,,,2012-11-26
1501518,Finance Clerk,財務管理員,,生產事業,,,2012-11-26
1501519,Finance Officer,財務管理師,,生產事業,,,2012-11-26
1501520,Pipe Fitter,配管技術員,,生產事業,,,2012-11-26
1501521,Deputy Executive Manager,副執行長,,生產事業,,,2012-11-26
