ID,英文名稱,中文名稱,圖片,德文,法文,法類/法條,審譯日期,更新日期
7196937,Privacy,隱私；隱私權,,Intimsphäre und Privatsphäre,Intimité,,,2020-04-01
7196938,Institutional guarantee,制度性保障,,Einrichtungsgarantie／Institutsgarantie／Institutionelle Garantie,Garantie institutionnelle,,,2020-04-01
7196939,Intelligible principle,法律明確性原則,,Grundsatz der Rechtsbestimmtheit,Principe de certitude juridique,,,2020-04-01
7196940,,授權明確性,,Bestimmtheit der Ermächtigung,,,,2020-04-01
7196941,Supremacy of the law,法律優位原則,,Vorrang des Gesetzes／Gesetzesvorrang,Primauté du droit,,,2020-04-01
7196942,Statutory reservation／Nondelegation doctrine,法律保留原則,,Vorbehalt des Gesetzes／Gesetzesvorbehalt,Principle  de réserve de la loi,,,2020-04-01
7196943,Principle of proportionality,比例原則,,Grundsatz der Verhältnismäßigkeit,,,,2020-04-01
7196944,Suitability／Rationality test,適當性原則,,Grundsatz der Geeignetheit,Principe de l'adéquation,,,2020-04-01
7196945,Least intrusive means／Necessity test,最小侵害原則／必要性原則,,Grundsatz der Notwendigkeit／Grundsatz der Erforderlichkeit,Principe de la nécessité,,,2020-04-01
7196946,Proportionality stricto sensu／Proportionality as such／Balancing test,狹義比例原則／相當性原則,,Grundsatz der Verhältnismäßigkeit im engeren Sinne／Grundsatz der Angemessenheit,Principe de la proportionnalité au sens strict,,,2020-04-01
7196947,State compensation,國家賠償,,Staatshaftung,Responsabilité de l'Etat,,,2020-04-01
7196948,National Assembly,國民大會；國民大會代表,,Nationalversammlung,,,,2020-04-01
