ID,英文名稱,中文名稱,圖片,備註,更新日期
2711826,domestic hygiene,家庭衛生,,,2016-10-04
2711827,dormitory,學校宿舍,,,2016-10-04
2711828,double degree,雙學位,,,2016-10-04
2711829,double major,雙主修,,,2016-10-04
2711830,double registration,雙重學籍,,,2016-10-04
2711831,double-track system,雙重軌制,,,2016-10-04
2711832,drill method,練習法,,,2016-10-04
2711833,drive,軀力,,,2016-10-04
2711834,drop-in centre,協談中心 {英},,英國教育學,2016-10-04
2711835,dropout,中輟；中途輟學,,,2016-10-04
2711836,dropout analysis,輟學原因分析,,,2016-10-04
2711837,dropout rate,輟學率,,,2016-10-04
2711838,dropouts,中輟生,,,2016-10-04
2711839,dual degrees system,雙聯學制,,,2016-10-04
2711840,dual personality,雙重人格,,,2016-10-04
2711841,Duke of Edinburgh Award,愛丁堡公爵獎助計畫 {英},,英國教育學,2016-10-04
2711842,early childhood education,幼兒教育,,,2016-10-04
2711843,early graduation base on academic excellence,成績優異提前畢業,,,2016-10-04
2711844,early intervention,早期療育,,,2016-10-04
2711845,Economic and Social Research Council,經濟與社會研究委員會 {英},,英國教育學,2016-10-04
2711846,educability,可教性,,,2016-10-04
2711847,educated young soldier,知識青年士兵,,,2016-10-04
2711848,education,教育,,,2016-10-04
2711849,Education Act,教育法案 {英},,英國教育學,2016-10-04
2711850,Education Action Zone,教育行動區 {英},,英國教育學,2016-10-04
2711851,education administration authority,主管教育行政機關,,,2016-10-04
2711852,"Education and Library Boards, Northern Ireland",教育暨圖書署 {英},,英國教育學,2016-10-04
2711853,Education Basic Law,教育基本法,,,2016-10-04
2711854,education budget,教育經費；教育預算,,,2016-10-04
2711855,Education Data Services,教育資料服務處,,,2016-10-04
2711856,education for citizenship,公民教育,,,2016-10-04
2711857,education for mental retardation,智能障礙教育,,,2016-10-04
2711858,education for national defense,國防教育,,,2016-10-04
2711859,education for the elderly,老人教育,,,2016-10-04
2711860,education home visitor,家庭教育訪視員,,,2016-10-04
2711861,education of blind and deaf-mute,盲聾啞教育,,,2016-10-04
2711862,education of deaf and dumb,聾啞教育,,,2016-10-04
2711863,education of leisure,休閒教育,,,2016-10-04
2711864,education of orphan,孤兒教育,,,2016-10-04
2711865,education of prisoner,受刑人教育,,,2016-10-04
2711866,education of will,意志教育,,,2016-10-04
2711867,education promoting program,教育促進方案,,,2016-10-04
2711868,Education Reform Act,教育改革法[案] {英},,英國教育學,2016-10-04
2711869,Education Reform Council,教育改革推動委員會,,,2016-10-04
2711870,education social worker,教育社工員,,,2016-10-04
2711871,education welfare officer {=EWO},教育福利員,,,2016-10-04
2711872,educational administration,教育行政,,,2016-10-04
2711873,educational administration portal site,教育行政入口網,,,2016-10-04
2711874,educational administrator,教育行政人員,,,2016-10-04
2711875,educational affairs,教育事務,,,2016-10-04
2711876,educational age {= E.A.},教育年齡,,,2016-10-04
2711877,educational apartheid,教育上的隔離狀態,,,2016-10-04
2711878,educational bill,教育法草案,,,2016-10-04
2711879,educational cinema,教育電影,,,2016-10-04
2711880,educational conference,教育會議,,,2016-10-04
2711881,educational criticism,教育評論,,,2016-10-04
2711882,educational data,教育資料,,,2016-10-04
2711883,educational decree,教育法令,,,2016-10-04
2711884,educational department,教育學系,,,2016-10-04
2711885,educational determinism,教育決定論,,,2016-10-04
2711886,educational diagnosis,教育診斷,,,2016-10-04
2711887,educational dictionary,教育辭典,,,2016-10-04
2711888,educational efficiency,教育效率,,,2016-10-04
2711889,educational egalitarianism,教育上的平等主義,,,2016-10-04
2711890,educational elitism,教育精英主義,,,2016-10-04
