ID,英文名詞,中文名詞,德文,法類/法條,審定日期,更新日期
21396118,Labor management,勞資協調合作,Koordinierung zwischen Aebeitnehmern und Arbeitgebern,社會福利基本法第10條,1/26通過,
21396119,Labor occupational accident insurance,勞工職業災害保險,Arbeitsunfallversicherung,職災保險法第3條,113/5/24通過,
21396120,Labor Occupational Accident Insurance and Protection Act,勞工職業災害保險及保護法,Gesetz für Arbeitsunfallversicherung und Arbeitsschutz,,113/5/24通過,
21396121,Labor occupational accident insurance fund,勞工職業災害保險基金,Fonds der Arbeitsunfallversicherung,職災保險法第3條,113/5/24通過,
21396122,Labor without fixed-term employment,無一定雇主勞工,Arbeitnehmer:in ohne bestimmte Arbeitgeber,職災保險法第7條第1款,113/6/7通過,
21396123,Level of permanent disability,失能程度,Grad der Erwerbsfähigkeitsminderung ,職災保險法第43條第1項,113/9/27通過,
21396124,Levels of public assistance,扶助等級,Niveau von Sozialhilfeleistungen,社會救助法第14條,4/25通過,
21396125,Life course,生命歷程,Lebensverlauf,社會福利基本法第9條,1/26通過,
21396126,Living allowance for vocational training,職業訓練生活津貼,Berufsausbildungsbeihilfe,社會救助法第5條之1第1項第1款第2目,4/25通過,
21396127,Living allowance for vocational training in cooperative education,職業技能訓練生活津貼,Berufsausbildungsbeihilfe für Auszubildene / Ausbildungsvergütung,社會救助法第5條之1第1項第1款第2目,4/25通過,
21396128,Living support,生活扶助,Hilfe zum Lebensunterhalt,社會救助法第2條,3/28通過,
21396129,Low income household,低收入戶,Sozialhilfebedürftige,社會福利基本法第6條,112/12/1通過，114/07/16修正,
21396130,Madate,委託,Auftrag,社會福利基本法第14條,2/23通過,
21396131,Mandatory insurance,強制納保,Zwangsversicherung,社會福利基本法第5條,112/12/1通過,
21396132,Maternal and infants nutrition subsidy ,產婦及嬰兒營養補助, Ernährungszuschuss für Mutter und Säuglinge,社會救助法第16條第1項第1款,6/6通過,
21396133,Maternity subsidy ,生育補助,Geburtsbeihilfe,社會救助法第16條第1項第6款,6/6通過,
21396134,maternity/childbirth,生育,Schwangerschaft und Geburt,全民健康保險法第1條第2項,114.8.13通過,
21396135,Median disposable income,可支配所得中位數,Median des verfügbaren Einkommens,社會救助法第4條第2項,3/28通過,
21396136,Medical benefits,醫療給付,Medizinische Leistungen,職災保險法第26條第1款職災保險法第38條第1項,113/8/30通過,
21396137,Medical care,醫療照顧,Medizinische Versorgung,社會福利基本法第5條,112/12/1通過,
21396138,Medical rehabilitation,醫療復健,Medizinische Rehabilitation,職災保險法第64條第1項第1款,113/10/18通過,
21396139,Medical subsidy,醫療補助,Medizinischer Zuschuss,職災保險法第78條第1項,113/12/13通過,
21396140,medical visit advice,就醫輔導,medizinische Beratung,全民健康保險法第2條第6款,114.8.13通過,
21396141,Medicial subsidy,醫療補助,Finanzielle Hilfe zur medizinischen Versorgung,社會救助法第2條,3/28通過,
21396142,Merit rating,實績費率,Performancebezogene Gefahrklasse,職災保險法第16條第4項,113/8/30通過,
21396143,Military personnel insurance,軍人保險,Gesetzliche Versicherung für Berufssoldaten,職災保險法第29條第2項,113/9/27通過,
21396144,Military servicemen's survivor,軍人遺族,Hinterbliebene von Militärangehörigen,全民健康保險法第10條第1項第4款第1目,114.9.12通過,
21396145,Minimum standard of living,最低生活費,Notwendiger Lebensunterhalt,社會救助法第4條第1項,3/28通過,
21396146,Minimum wage,基本工資,Mindestlohn,職災保險法第17條第5項,113/8/30通過,
21396147,Missing benefit,失蹤給付,Leistung wegen Verschollen,職災保險法第26條第5款職災保險法第55條第1項,113/8/30通過,
21396148,Moderate income household,中低收入戶,Familien mit bescheidenem Einkommen,社會福利基本法第6條,112/12/1通過，114/06/06更新,
21396149,Monthly insured salary ,月投保薪資,Beitragspflichtiges monatliches Arbeitsentgelt ,職災保險法第10條第3項,113/8/2通過,
21396150,National Health Insurace,全民健康保險,Bürgerkrankenversicherung,全民健康保險法第1條第1項,114.8.13通過,
21396151,National Health Insurance Card,全民健康保險憑證,Karte der Bürgerkrankenversicherung,全民健康保險法第16條第1項,114.9.12通過,
21396152,National Health Insurance Committee,全民健康保險會,Ausschuss der Bürgerkrankenversicherung,全民健康保險法第5條第1項,114.8.13通過,
21396153,National Health Insurance contracted healthcare institute,保險醫事服務機構,verträgliche leistungserbringende Einrichtung der Bürgerkrankenversicherung,全民健康保險法第6條第1項,114.8.13通過，114.9.12 修正,
21396154,National Health Insurance Dispute Review Committee,全民健康保險爭議審議會,Widerspruchsausschuss der Bürgerkrankenversicherung,全民健康保險法第6條第2項,114.8.13通過，114.9.12 修正,
