ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
6962683,"Fricker, Peter Racine",福瑞可,,音樂,,2020-03-16
6962684,"Fried, Philip","福利特,菲利普",,音樂,,2020-03-16
6962685,"Friedel, Charles",福瑞斗,,物理,,2020-03-16
6962686,"Friedman, Stanton Terry","福里德門,斯丹頓",,物理,,2020-03-16
6962687,"Friend, Rodney",福倫德,,音樂,,2020-03-16
6962688,"Friml, Rudolf",福瑞摩,,音樂,,2020-03-16
6962689,"Friskin, James",福瑞斯金,,音樂,,2020-03-16
6962690,"Frith, Fred",福瑞斯,,音樂,,2020-03-16
6962691,Froissart,夫華薩,,物理,,2020-03-16
6962692,"Froom, David",福如姆,,音樂,,2020-03-16
6962693,"Fry, William Henry",福萊,,音樂,,2020-03-16
6962694,"Frye, Walter",福萊,,音樂,,2020-03-16
6962695,"Fryer, Herbert",福萊爾,,音樂,,2020-03-16
6962696,"Fubini, Guido",富比尼,,物理,,2020-03-16
6962697,"Fuchs, Joseph","傅可思,約瑟夫",,音樂,,2020-03-16
6962698,"Fuleihan, Anis",福雷安,,音樂,,2020-03-16
6962699,"Fuller Maitland, John Alexander",傅勒-梅特倫德,,音樂,,2020-03-16
6962700,"Fuller,  Richard Buckminster “Bucky”","傅勒,理查",,化學,,2020-03-16
6962701,"Fuller, Donald","傅勒,達諾德",,音樂,,2020-03-16
6962702,"Fuller, Richard Buckminster “Bucky”","傅勒,理查",,物理,,2020-03-16
6962703,"Fulton, Norman",傅爾騰,,音樂,,2020-03-16
6962704,"Funk, Eric",范可,,音樂,,2020-03-16
6962705,"Furmedge, Edith",傅梅吉,,音樂,,2020-03-16
6962706,"Furry,  Wendell Hinkle",弗瑞,,物理,,2020-03-16
6962707,"Gabor,  Dennis",葛波,,物理,,2020-03-16
6962708,"Gadsby, Henry Robert",加茲比,,音樂,,2020-03-16
6962709,"Galilei,  Galileo",伽利略,,化學,,2020-03-16
6962710,"Galilei,  Galileo",伽利略,,物理,,2020-03-16
6962711,"Gallagher, Jack",加勒格爾,,音樂,,2020-03-16
6962712,"Galway, James",高爾威,,音樂,,2020-03-16
6962713,"Gannon, Lee",加能,,音樂,,2020-03-16
6962714,"Garant, Serge",加洪,,音樂,,2020-03-16
6962715,"Garden, Mary",加登,,音樂,,2020-03-16
6962716,"Gardiner, Balfour","加德拿,巴爾福",,音樂,,2020-03-16
6962717,"Gardiner, John Eliot","加德拿,約翰",,音樂,,2020-03-16
6962718,"Gardner, John Linton","賈德拿,約翰",,音樂,,2020-03-16
6962719,"Gardner, Samuel","賈德拿,薩繆爾",,音樂,,2020-03-16
6962720,"Garland, Dora",加倫德,,音樂,,2020-03-16
6962721,"Garner, David",加拿,,音樂,,2020-03-16
6962722,"Garrison, Mabel",加瑞森,,音樂,,2020-03-16
6962723,"Gatty, Nicholas",加堤,,音樂,,2020-03-16
6962724,"Gaul, Alfred",高爾,,音樂,,2020-03-16
6962725,"Gauntlet, Ambrose","龔特里特,安柏若斯",,音樂,,2020-03-16
6962726,"Gauntlet, Henry John","龔特里特,亨利",,音樂,,2020-03-16
6962727,"Gauss,  Johann Carl Friedrich",高斯,,物理,,2020-03-16
6962728,"Gay, John",蓋伊,,音樂,,2020-03-16
6962729,"Geddes, John Maxwell",蓋迪斯,,音樂,,2020-03-16
6962730,"Gehrcke, Ernst",蓋爾可,,物理,,2020-03-16
6962731,"Gell-Mann, Murray",蓋爾曼,,物理,,2020-03-16
6962732,"Gelt, Andrew",蓋爾特,,音樂,,2020-03-16
6962733,"Georgi,  Howard",周基,,物理,,2020-03-16
6962734,"Gerlach, Walter",葛拉赫,,物理,,2020-03-16
6962735,"German, Edward",哲門,,音樂,,2020-03-16
6962736,"Germer, Lester Halbert",葛莫,,物理,,2020-03-16
6962737,Gerrn,傑恩,,物理,,2020-03-16
6962738,"Gershwin, George",葛施文,,音樂,,2020-03-16
6962739,"Giannini, Vittorio",詹尼尼,,音樂,,2020-03-16
6962740,"Gibbons, Christopher","紀本斯,克里斯特福",,音樂,,2020-03-16
6962741,"Gibbons, Orlando","紀本斯,奧蘭多",,音樂,,2020-03-16
6962742,"Gibbs, Josiah Willard","紀布斯,喬賽亞",,物理,,2020-03-16
6962743,"Gibbs, Cecil Armstrong","紀布斯,瑟西爾",,音樂,,2020-03-16
6962744,"Gibert, Henry F.",紀伯特,,音樂,,2020-03-16
6962745,"Gibson, Alexander","紀布森,亞歷山大",,音樂,,2020-03-16
6962746,"Gibson, George Arfred","紀布森,喬治",,音樂,,2020-03-16
6962747,"Gibsone, William Ignace","紀卜森,威廉",,音樂,,2020-03-16
6962748,"Gillis, Don",紀里斯,,音樂,,2020-03-16
6962749,"Gilman, Lawrence","紀爾門,洛倫斯",,音樂,,2020-03-16
6962750,"Gimpel, Bronislav",金培爾,,音樂,,2020-03-16
6962751,"Giorgi, Giovanni",喬吉,,物理,,2020-03-16
6962752,"Gipps, Ruth",紀普斯,,音樂,,2020-03-16
6962753,"Gladstone, John Hall",葛拉司登,,物理,,2020-03-16
6962754,Glan,格蘭,,物理,,2020-03-16
6962755,"Glanville-Hicks, Peggy",葛蘭維爾-希克斯,,音樂,,2020-03-16
6962756,"Glashow, Sheldon Lee",葛拉修,,物理,,2020-03-16
6962757,"Glass, Philip","葛拉斯,菲利普",,音樂,,2020-03-16
6962758,"Glasser, Stanley",葛拉瑟,,音樂,,2020-03-16
6962759,"Glauber, Roy Jay",葛勞伯,,物理,,2020-03-16
6962760,"Glazebrook, Richard Tetley",葛雷茲布魯克,,物理,,2020-03-16
6962761,"Glenn, Carroll",葛倫,,音樂,,2020-03-16
6962762,"Glesser, Frederic",葛雷瑟,,音樂,,2020-03-16
6962763,"Glise, Anthony",葛利斯,,音樂,,2020-03-16
6962764,"Glock, William",葛洛克,,音樂,,2020-03-16
6962765,"Glover, Jane",葛拉弗,,音樂,,2020-03-16
