ID,英文詞彙,中文名詞,越南語,印尼語,緬甸文,泰文,柬埔寨文,資料來源,法令,注解,菲律賓文,更新日期
21376337,to combine; in combination,合併,"hợp nhất, gộp lại",bergabung,,,,,,,,
21376338,to commit to the custody of…,責付,chịu trách nhiệm chi trả,membebankan kewajiban,,,,,,,,
21376339,To compile (a budget),編列,sắp xếp liệt kê,menyusun,,,,,,,,
21376340,to complete,完畢,"hoàn tất, hoàn thành",selesai,,,,,,,,
21376341,to concurrently possess; also,兼具,có cả,juga memiliki,,,,,,,,
21376342,to confiscate,沒入,tịch thu do vi phạm hành chính,disita,,,,,,,,
21376343,to conform,遵照,tuân theo,mengikuti; menaati,,,,,,,,
21376344,to convene,召開,"mở (cuộc họp, phiên toà…)",mengadakan; membuka,,,,,,,,
21376345,to count in as; to have…included,計入,tính vào,dihitung ke dalam,,,,,,,,
21376346,to decide to… (to a moderate degree),酌予,"cân nhắc, xem xét",memberi pertimbangan,,,,,,,,
21376347,to deliver; delivery,交付,giao nộp,menyerahkan,,,,,,,,
21376348,to demand access to documents,調閱,lựa chọn và xem (tài liệu),inspeksi; evaluasi,,,,,,,,
21376349,to determine through negotiation,議定,thảo luận và quyết định,kesepakatan,,,,,,,,
21376350,to determine… (to a moderate degree),酌定,cân nhắc quyết định,mempertimbangkan dan memutuskan,,,,,,,,
21376351,to disclose,揭露,"tiết lộ, phơi bày, vạch trần",terungkap,,,,,,,,
21376352,to dispatch,發送,"gửi đi, phát đi",mengirim,,,,,,,,
21376353,to draft (contract),訂約,hợp đồng,membuat kontrak,,,,,,,,
21376354,to draft (contract); signing,訂立,ký kết,pembentukan perjanjian,,,,,,,,
21376355,to enjoy,享有,"được hưởng, hưởng sở hữu",mendapatkan; menikmati,,,,,,,,
21376356,to enter as a dependent,依親,theo thân nhân,berdasarkan hubungan darah,,,,,,,,
21376357,to entrust; to commission,委託,"ủy thác, nhờ",memberi kuasa,,,,,,,,
21376358,to exceed…,逾,"vượt quá, quá",melewati; melebihi,,,,,,,,
21376359,to execute; to exercise,行使,thực hiện,menjalankan,,,,,,,,
21376360,to fall below,低於,thấp hơn,lebih rendah dari,,,,,,,,
21376361,to find…disagreeable,不服,"không phục, không chấp nhận",tidak terima dengan,,,,,,,,
21376362,to follow; to observe,遵循,tuân thủ,menaati,,,,,,,,
21376363,to formulate,擬訂,bản thảo,merencanakan,,,,,,,,
21376364,to formulate (laws and regulations),訂定,quy định,menetapkan  ,,,,,,,,
21376365,to give special consideration,衡酌,cân nhắc và xem xét,mempertimbangkan keadaan,,,,,,,,
21376366,to give; to provide; to grant,給予,"cấp, trao, ban tặng cho",memberi,,,,,,,,
21376367,to go ahead,先行,ưu tiên xử lý,terlebih dahulu,,,,,,,,
21376368,to grant,賦予,ban cho,diberi   ,,,,,,,,
21376369,"to grant, to allow",准許,cho phép,mengizinkan,,,,,,,,
21376370,to grant; to provide…with…,給與,"chi trả cho, đưa ra cho",menyediakan; memberi,,,,,,,,
21376371,to hand over,取交,lấy và bàn giao lại,diberikan kepada,,,,,,,,
21376372,to have … clearly stated,敘明,tường trình,penjelasan,,,,,,,,
21376373,to have … granted,核給,phê duyệt cho,memberi,,,,,,,,
21376374,to have … made public,公示,công bố,pemberitahuan,,,,,,,,
21376375,to have … reached; to achieve,達成,"hoàn thành, đạt được",mencapai,,,,,,,,
21376376,to have …recorded,記入,ghi chép vào,dihitung dalam,,,,,,,,
21376377,to have never,未曾,chưa từng,tidak pernah,,,,,,,,
21376378,to have obtained,徵得,trưng cầu và đạt được,memperoleh,,,,,,,,
21376379,to have presumed,推定,suy đoán và nhận định,anggapan; praduga,,,,,,,,
21376380,to have received relief,領卹,lĩnh tiền tử tuất (do có thân nhân mất trong lúc làm việc),menerima santunan (bagi pegawai negeri yang mengalami kecelakaan kerja),,,,,,,,
21376381,to have; to possess,具有,có,memiliki,,,,,,,,
21376382,to have…attributable to,歸責,quy trách nhiệm,akuntabilitas; tanggung jawab,,,,,,,,
21376383,to have…imposed,處以,áp dụng xử lý,dihukum; diberi penalti,,,,,,,,
21376384,to have…included,列入,"liệt vào, đưa vào",terdaftar; dimasukkan ke dalam,,,,,,,,
21376385,to have…prepared,置備,chuẩn bị,menyediakan  ,,,,,,,,
21376386,to have…prepared; to have…registered,設有,"có  thiết lập, có xây dựng",memiliki,,,,,,,,
21376387,to have…recorded,記明,ghi rõ trong văn bản,tertera; tertulis,,,,,,,,
21376388,to have…set up,置有,"sở hữu, có",memiliki,,,,,,,,
21376389,to have…specified,訂明,chỉ định rõ,ditentukan; ditetapkan,,,,,,,,
21376390,to have…stated,載明,ghi rõ,tertulis,,,,,,,,
21376391,to hear about,聽聞,nghe được,mendengar,,,,,,,,
21376392,to hold,持用,sử dụng,menggunakan,,,,,,,,
21376393,"to hold, to possess",持有,có,memiliki  ,,,,,,,,
21376394,to impose violence,施暴,bạo lực,melakukan kekerasan,,,,,,,,
21376395,to increase,加重,"tăng thêm, nặng thêm",memperberat,,,,,,,,
21376396,to indulge; to condone,縱容,dung túng,membiarkan,,,,,,,,
21376397,to inform…,諭知,"thông báo, báo cho biết",memberitahu,,,,,,,,
21376398,to instigate,教唆,"kích động, xúi giục",menghasut,,,,,,,,
21376399,to involve; to be involved in,涉及,liên quan đến,melibat; menyangkut,,,,,,,,
21376400,to issue,開立,"lập, mở ra",mengeluarkan; menerbitkan,,,,,,,,
21376401,to lead to (a result),致生,dẫn đến hình thành,mengakibatkan,,,,,,,,
21376402,to list,列冊,liệt vào danh sách,katalog,,,,,,,,
21376403,to list as wanted,通緝,truy nã,buronan,,,,,,,,
21376404,to listen to,聽取,nghe và tiếp nhận,menyimak,,,,,,,,
21376405,to look after; care giving,照護,chăm sóc,merawat,,,,,,,,
21376406,to lower,調降,điều chỉnh giảm,menurunkan,,,,,,,,
21376407,to make a deposit,存入,"lưu vào, gửi vào",menyimpan,,,,,,,,
21376408,to make a make-up payment,補繳,"nộp thêm, thanh toán bổ sung",melunasi,,,,,,,,
21376409,to make a request for…,自請,"tự đề nghị, tự xin cấp",mengajukan diri,,,,,,,,
21376410,to make correction,改正,"cải chính, sửa lại cho đúng",memperbaiki,,,,,,,,
21376411,to make payment,付費,"trả phí, trả tiền",membayar,,,,,,,,
21376412,to make payment (of a fee),繳納,"nộp, đóng tiền",membayar,,,,,,,,
21376413,to make up for,彌補,"đền bù, bù đắp",menutupi,,,,,,,,
21376414,to misbelieve,誤信,tin nhầm,mempercayai hal yang keliru,,,,,,,,
21376415,to move out,遷出,"di dời, di chuyển ra",pindah domisili,,,,,,,,
21376416,to notify,知會,thông báo,memberitahu,,,,,,,,
21376417,to obtain,獲致,nhận được,mendapatkan,,,,,,,,
21376418,to offset,折抵,"khấu trừ, giảm trừ",dipotong,,,,,,,,
21376419,to pass; qualified,合格,"hợp lệ, đạt tiêu chuẩn",lulus,,,,,,,,
21376420,to permit,准予,cho phép,memperbolehkan,,,,,,,,
21376421,to plan and formulate,策訂,"hoạch định, lập kế hoạch",penyusunan kebijakan,,,,,,,,
21376422,to prescribe,擬定,"hoạch định kế sách, lập kế hoạch",menyusun   ,,,,,,,,
21376423,to present … (for inspection),繳驗,nộp để kiểm tra đối chứng,data untuk diverifikasi,,,,,,,,
21376424,to present to,提報,đưa ra báo cáo,melaporkan,,,,,,,,
21376425,to press for payment afterwards,追繳,thu lại (án hành chính),menagih kembali,,,,,,,,
21376426,to produce and distribute; to issue and distribute,製發,chế tác và cấp phát,mengeluarkan; menerbitkan,,,,,,,,
21376427,to produce and give (a receipt),掣給,xé và đưa ra (hóa đơn),merobek dan memberikan bagian kepada,,,,,,,,
21376428,to produce; to show; to display; to present,出示,xuất trình,menunjukkan,,,,,,,,
21376429,to provide bail,具保,bảo lãnh,jaminan,,,,,,,,
21376430,to pursue and look into (the liabilities),追究,truy cứu,penyelidikan,,,,,,,,
21376431,to quote…as a proof,舉證,đưa ra bằng chứng,membuktikan,,,,,,,,
21376432,to raise,提起,"đề cập đến, đưa ra",menyinggung; menyebutkan,,,,,,,,
21376433,to raise; to submit,提出,"đưa ra, đề xuất",mengajukan,,,,,,,,
21376434,to reach the age of…,年滿,"đủ tuổi, đủ năm",memenuhi (tahun),,,,,,,,
21376435,to read,閱覽,"đọc, xem",membaca,,,,,,,,
21376436,to receive,領取,"nhận, lấy",menerima,,,,,,,,
21376437,to receive approval for…,獲准,được phê duyệt,diizinkan,,,,,,,,
21376438,to receive compensation,受償,được bồi thường,diganti rugi,,,,,,,,
21376439,to receive medical treatment,就醫,"đi khám bệnh, điều trị bệnh",berobat,,,,,,,,
21376440,to record (on document),登載,"ghi chép, đăng tải",mencantumkan,,,,,,,,
21376441,to recruit,招收,"tuyển nhận, thu nhận",menerima,,,,,,,,
21376442,to remain unchanged,不變,không thay đổi,tidak berubah,,,,,,,,
21376443,to repay,償還,"trả lại, hoàn trả",membayar,,,,,,,,
21376444,to report (an offence),檢舉,tố cáo,pengaduan,,,,,,,,
21376445,to report (an offense),舉發,"tố cáo, khiếu nại",melaporkan,,,,,,,,
21376446,to request,洽請,bàn bạc và mời,menghubungi; kontak,,,,,,,,
21376447,to result from,出於,xuất phát từ,berasal dari,,,,,,,,
21376448,to reveal,揭示,"yết thị, công bố, ban bố",mengungkap; menyatakan,,,,,,,,
21376449,to review (with special consideration),審酌,thẩm tra xem xét,mempertimbangkan,,,,,,,,
21376450,to review and file for reference,核備,khảo sát trù bị,memeriksa,,,,,,,,
21376451,to sentence,判處,"kết án, kết tội",vonis,,,,,,,,
21376452,to serve in a position,任職,nhiệm chức,menjabat sebagai,,,,,,,,
21376453,to serve in the military,營服兵役,doanh trại thực hiện nghĩa vụ quân sự,menjalankan tugas wajib militer,,,,,,,,
21376454,to set aside,提列,đề xuất và liệt kê ra,memperhitungkan pembagian,,,,,,,,
21376455,to shorten,縮短,rút ngắn,mengurangi; memendekkan,,,,,,,,
21376456,to stop,制止,ngăn chặn,menghentikan,,,,,,,,
21376457,to store,存放,lưu trữ bảo quản,menyimpan; menaruh,,,,,,,,
21376458,to suffer a disaster (usually death),遇難,gặp nạn,terkena musibah,,,,,,,,
21376459,to take effect,生效,"có hiệu lực, phát sinh hiệu lực",berlaku,,,,,,,,
21376460,to take over,接辦,tiếp nhận xử lý,mengambil alih,,,,,,,,
21376461,to testify,作證,làm chứng,menjadi saksi,,,,,,,,
21376462,to trace,追查,"điều tra, theo dõi",melacak,,,,,,,,
21376463,to treat as...,視同,"coi như, xem như",dianggap,,,,,,,,
21376464,to urge and supervise,督促,giám sát và đôn đốc,memantau,,,,,,,,
21376465,to waive,免除,miễn trừ,ditiadakan; dihilangkan,,,,,,,,
21376466,to warn the opposite party,告誡相對人,"khuyên răn, cảnh cáo người bị kiện",memperingati orang terkait,,,,,,,,
21376467,to witness domestic violence,目睹家庭暴力,tận mắt chứng kiến bạo lực gia đình,saksi kekerasan dalam rumah tangga,,,,,,,,
21376468,to…as a make-up event,補辦,"làm lại, thực hiện lại",mengurus ulang,,,,,,,,
21376469,together,一併,"tập hợp lại, cùng nhau",bersamaan,,,,,,,,
21376470,together with,隨同,"đi cùng, theo",menemani; bersama,,,,,,,,
21376471,Total budget,總經費,tổng kinh phí,total anggaran,,,,,,,,
21376472,tourism,觀光業,ngành du lịch,industri pariwisata,,,,,,,,
21376473,training,培訓,đào tạo,pelatihan,,,,,,,,
21376474,training completion,結訓,kết thúc khóa đào tạo,pelatihan selesai,,,,,,,,
21376475,training facility,訓練所,Trung tâm đào tạo,tempat pelatihan,,,,,,,,
21376476,training session,講習,giảng dạy và học tập,pelatihan,,,,,,,,
21376477,transfer,轉讓,chuyển nhượng,dialihkan,,,,,,,,
21376478,transfer (in transportation),轉乘,chuyển phương tiện giao thông,transfer; ganti,,,,,,,,
21376479,transfer (of a case or a suspect),移送,chuyển giao vụ án,penyerahan; dialihkan,,,,,,,,
21376480,transfer (of information),轉報,chuyển tiếp và báo cáo (thông tin),dilapor ke,,,,,,,,
21376481,transfer; relocation,改調,điều chỉnh lại,mutasi,,,,,,,,
21376482,transferring medical service,轉診,chuyển viện,merujuk,,,,,,,,
21376483,transit,過境,quá cảnh,transit,,,,,,,,
21376484,Transplantation,移植,cấy ghép,transplantasi,,,,,,,,
21376485,transport,運輸,"vận chuyển, vận tải",transportasi,,,,,,,,
21376486,trauma,創傷,"chấn thương, tổn thương",trauma,,,,,,,,
21376487,traumatic,外傷,vết thương bên ngoài,cedera,,,,,,,,
21376488,treason,外患,ngoại xâm,ancaman dari negara lain,,,,,,,,
21376489,treasury bills,庫券,tín phiếu kho bạc,saham; obligasi,,,,,,,,
21376490,treasury bonds,公債,nợ công,obligasi,,,,,,,,
21376491,Treatment,治療,điều trị,Terapi,,,,,,,,
21376492,treaty,條約,"hiệp định, thỏa thuận",perjanjian,,,,,,,,
21376493,trespassing,入侵,"xâm phạm, xâm nhập",invasi,,,,,,,,
21376494,trial,審判,phán quyết,vonis; memutuskan,,,,,,,,
21376495,trial; hearing,審理,thẩm định và xử lý,pemeriksaan,,,,,,,,
21376496,tunnel,隧道,đường hầm,terowongan,,,,,,,,
21376497,underwriting,承保,chịu trách nhiệm bồi thường bảo hiểm,menanggung asuransi,,,,,,,,
21376498,unforeseen incident,事變,"biến cố, sự kiện xảy ra bất ngờ",insiden,,,,,,,,
21376499,uniforms,服制,quy định về trang phục,tata busana,,,,,,,,
21376500,university; college,校院,trường học,kampus,,,,,,,,
21376501,unobstructed,無礙,"không có trở ngại, không gây trở ngại",tidak menghambat; tidak mengganggu,,,,,,,,
21376502,upon the designated date,屆期,trong kỳ hạn,jatuh tempo,,,,,,,,
21376503,urgency,緊急性,tính cấp bách,bersifat mendesak,,,,,,,,
21376504,Vaccination,接種疫苗,tiêm phòng,Vaksinasi,,,,,,,,
21376505,valid; effective,有效,có hiệu quả,sah; berlaku,,,,,,,,
21376506,validity period,效期,thời gian có hiệu lực,masa berlaku,,,,,,,,
21376507,value,價額,giá trị,harga,,,,,,,,
21376508,verbal,言詞,ngôn từ,pernyataan; perkataan,,,,,,,,
21376509,verification,查證,"xác minh, chứng thực",verifikasi,,,,,,,,
21376510,vessel,船舶,"tàu thủy, phương tiện vận tải đường thủy",kapal,,,,,,,,
21376511,veteran,榮民,cựu chiến binh,veteran,,,,,,,,
21376512,victim,被害人,nạn nhân,korban,,,,,,,,
21376513,victimizer; offender,加害人,thủ phạm,pelaku kejahatan,,,,,,,,
21376514,violation,觸犯,vi phạm,melanggar hukum,,,,,,,,
21376515,violence,暴行,"hành động bạo lực, hành vi tàn bạo",tindakan kekerasan,,,,,,,,
21376516,"violence, coercion",強暴,"cường bạo, hung bạo",memperkosa,,,,,,,,
21376517,visit,訪視,"thăm viếng, đến và hỏi thăm tình hình",mengunjungi  ,,,,,,,,
21376518,visit and inspection,訪查,"điều tra, phỏng vấn điều tra",mengunjungi dan memeriksa,,,,,,,,
21376519,voluntarily surrenders,自首,đầu thú,menyerahkan diri,,,,,,,,
21376520,wage,工資額,mức lương,jumlah gaji,,,,,,,,
21376521,war,戰亂,chiến tranh loạn lạc,kekacauan akibat perang,,,,,,,,
21376522,warehousing,倉儲,"kho trữ hàng, kho hàng",gudang,,,,,,,,
21376523,weapon (for criminal purposes),兇器,hung khí,senjata kejahatan,,,,,,,,
21376524,web conference,網絡會議,hội nghị mạng lưới các cơ quan liên quan,rapat online,,,,,,,,
21376525,weight; severity,輕重,mức độ nặng nhẹ,tingkat keseriusan,,,,,,,,
21376526,welfare,福利,phúc lợi,kesejahteraan,,,,,,,,
21376527,Welfare Act,福利法,luật phúc lợi,Undang-undang kesejahteraan,,,,,,,,
21376528,welfare; well-being,福祉,"phúc lợi, hạnh phúc",kesejahteraan  ,,,,,,,,
21376529,whereabouts,所在,"nơi, chỗ",lokasi,,,,,,,,
21376530,whereabouts unknown,行蹤不明,không rõ hành tung,tidak diketahui keberadaannya,,,,,,,,
21376531,whether or not,得否,có thể hoặc không,boleh atau tidak,,,,,,,,
21376532,wind disaster,風災,thảm họa thiên tai do gió,bencana angin,,,,,,,,
21376533,winning tenderer,得標,"thắng thầu, trúng thầu",memenangkan tender,,,,,,,,
21376534,winning the lawsuit,勝訴,thắng kiện,memenangkan perkara,,,,,,,,
21376535,winter and summer vacations,寒暑假,kỳ nghỉ hè và nghỉ đông,liburan musim dingin dan musim panas,,,,,,,,
21376536,with,附具,có kèm theo,lampiran,,,,,,,,
21376537,with a time limit; specific period; within a given period; deadline,限期,thời hạn,batas waktu,,,,,,,,
21376538,with…as attachments,檢附,đính kèm theo,melampirkan  ,,,,,,,,
21376539,"withdraw, recall",下架,"gỡ bỏ xuống, lấy xuống, dẹp xuống, không được bày bán",diturunkan,,,,,,,,
21376540,withdrawal,撤回,rút về,menarik kembali,,,,,,,,
21376541,withholding,預扣,khấu trừ trước,dipotong terlebih dahulu,,,,,,,,
21376542,within the limit,限定,hạn định,terbatas,,,,,,,,
21376543,without justification,無故,"không lý do, vô cớ",tanpa alasan,,,,,,,,
