ID,英文詞彙,中文名詞,更新日期
21329588,lishu;clerical script,隸書,
21329589,littleneck clam,海瓜子,
21329590,liuqin;willow lute,柳琴,
21329591,local offering ceremony;community offering ceremony,大拜拜,
21329592,long;(Chinese) dragon,龍,
21329593,longan,龍眼,
21329594,Longjing tea,龍井茶,
21329595,"look, smell, ask and touch (the four diagnostic methods of TCM);inspection, auscultation and olfaction, questioning, and palpation (the four diagnostic methods of TCM)",望、聞、問、切（四診）,
21329596,loquat,枇杷,
21329597,lotus seed soup,蓮子湯,
21329598,lu wei;soy sauce braised food,滷味,
21329599,ludan;braised egg,滷蛋,
21329600,Lunar New Year’s Eve dinner,年夜飯,
21329601,Lunar New Year’s Eve family dinner,團圓飯,
21329602,Lunar New Year's gift money (to children),壓歲錢,
21329603,luo;gong,鑼,
21329604,luobo gao;daikon cake,蘿蔔糕,
21329605,lurou fan;braised pork rice;braised pork on rice,滷肉飯,
21329606,lychee;litchi,荔枝,
21329607,ma (horse),馬/傌,
21329608,Madeira vine,洋落葵 (藤三七，訛稱川七),
21329609,magua;Mandarin jacket,馬褂,
21329610,majiang noodles;sesame paste noodles;sesame noodles,麻醬麵,
21329611,major demerit,大過,
21329612,major merit,大功,
21329613,Mandarin bodice;Chinese bodice,肚兜,
21329614,Mandarin cap;Chinese watermelon cap,瓜皮帽,
21329615,Mandarin collar,旗袍領,
21329616,mangosteen,山竹,
21329617,mantou;steamed bun,饅頭,
21329618,Maotai (liquor);Moutai (liquor),茅台酒,
21329619,marinate,醃,
21329620,May-September romance;May-December romance,老少配,
21329621,Mazu;Goddess of the Sea,媽祖,
21329622,measure word;classifier,量詞,
21329623,medicinal food;medicinal diet,藥膳,
21329624,medium ink brush,中楷筆,
21329625,mei plum,梅子,
21329626,merit,功,
21329627,mesona jelly (grass jelly),仙草(凍),
21329628,mesona jelly with ice,仙草冰,
21329629,meteor hammer,流星錘,
21329630,midou shaved ice;shaved ice with sweetened beans,蜜豆冰,
21329631,mijiang;rice milk;rice beverage,米漿,
21329632,milk caps;hero caps;POG,打尪仔標 (抽打紙牌),
21329633,millet,小米,
21329634,millet porridge,小米粥,
21329635,millet wine,小米酒,
21329636,minced mustard greens;xuelihong,雪裡紅 (雪菜/雪裡蕻),
21329637,minced pork rice,肉燥飯,
21329638,minor demerit,小過,
21329639,minor merit,小功,
21329640,mixed (cold dish),涼拌,
21329641,mixed grouping,常態編班,
21329642,mochi,麻糬,
21329643,Mohism,墨家,
21329644,monk fruit;luohan guo;arhat fruit;siraitia,羅漢果,
21329645,moon gate,月洞門,
21329646,morning assembly,朝會,
21329647,morning self-study period,早自習,
21329648,moxibustion,灸法,
21329649,mozuku,海髮菜,
21329650,mud crab;mangrove crab,紅蟳,
21329651,mudbrick house,土角厝,
21329652,mugwort;silvery wormwood;Artemisia argyi,艾草,
21329653,multigrain rice,雜糧米,
21329654,mung bean microgreens;(俗稱 mung bean sprouts),綠豆苗,
21329655,mung bean pastry,綠豆椪,
21329656,mung bean soup,綠豆湯,
21329657,musical chairs,搶椅子,
21329658,muskmelon (泛稱);honeydew melon (美濃瓜),香瓜,
21329659,muyu;wooden fish;Chinese temple block,木魚,
21329660,nail painting;nail art,指甲彩繪,
21329661,Nanking Massacre;Nanjing Massacre,南京大屠殺,
21329662,nasolabial folds;smile lines,法令紋,
21329663,nectarine,油桃,
21329664,nirvana,涅盤,
21329665,nunchuks;nunchaku,雙節棍,
21329666,off-campus learning;field trip,校外教學,
21329667,offerings to hungry ghosts;pudu,普度/普渡,
