ID,英文名稱,中文名稱,圖片,備註,更新日期
3365251,circulation of elite,菁英循環；精英循環,,,2018-03-21
3365252,circumcision,割禮,,,2018-03-21
3365253,citizen,公民；市民,,,2018-03-21
3365254,citizenship,市民權；公民權；市民身份；公民身份,,,2018-03-21
3365255,citizenship by birth,公民身分屬地主義,,,2018-03-21
3365256,citizenship by descent,公民身分血統主義,,,2018-03-21
3365257,city,都市；城市,,,2018-03-21
3365258,city planning,城市規劃；城市計畫,,,2018-03-21
3365259,city state,城邦；城市國家,,,2018-03-21
3365260,civic culture,公民文化,,,2018-03-21
3365261,civic education,公民教育,,,2018-03-21
3365262,civic nationalism,公民國族主義；公民民族主義,,,2018-03-21
3365263,civil culture,公民文化,,,2018-03-21
3365264,civil disobedience,公民不服從,,,2018-03-21
3365265,civil inattention,禮貌性忽視,,,2018-03-21
3365266,civil marriage,公證結婚,,,2018-03-21
3365267,civil religion,公民宗教,,,2018-03-21
3365268,civil rights,市民權；公民權；民權,,,2018-03-21
3365269,"Civil Rights Act {USA,1964}",民權法案,,,2018-03-21
3365270,Civil Rights movement,民權運動,,,2018-03-21
3365271,civil service,文官制,,,2018-03-21
3365272,civil society,公民社會；市民社會,,,2018-03-21
3365273,civil unions,伴侶關係,,,2018-03-21
