ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3604199,"Cosset, François",柯賽,,音樂,,2018-11-20
3604200,"Cotte, Roger",柯特,,音樂,,2018-11-20
3604201,"Couperin, François",庫珀翰，弗杭絲瓦,,音樂,,2018-11-20
3604202,"Couperin, Louis",庫珀翰，路易(庫珀翰，盧伊),,音樂,,2018-11-20
3604203,"Courvoisier, Walter",庫瓦吉耶,,音樂,,2018-11-20
3604204,"Cras, Jean",克哈,,音樂,,2018-11-20
3604205,"Crespin, Régine",克雷斯斑,,音樂,,2018-11-20
3604206,"Cuénod, Hugues",給諾,,音樂,,2018-11-20
3604207,"Dalayrac, Nicolas(-Marie)",達列哈克,,音樂,,2018-11-20
3604208,"Dalbavie, Marc-André",達勒巴維,,音樂,,2018-11-20
3604209,"Dalberto, Michel",達勒貝托,,音樂,,2018-11-20
3604210,"Dalle Ave, Michel",達拉伏,,音樂,,2018-11-20
3604211,"Dalmorès, Charles",達勒莫雷斯,,音樂,,2018-11-20
3604212,"Damase, Jean-Michel",達馬茲,,音樂,,2018-11-20
3604213,"Dancla, Charles",丹克拉,,音樂,,2018-11-20
3604214,"Danco, Suzanne",丹科,,音樂,,2018-11-20
3604215,"Dandelot, Georges",丹德羅,,音樂,,2018-11-20
3604216,"d'Anglebert, Jean Henri",丹格勒貝爾,,音樂,,2018-11-20
3604217,"Daniel-Lesur, Jean Yves",達尼耶-勒巨爾,,音樂,,2018-11-20
3604218,"Daniel-Lesur, Jean Yves",達尼耶-勒巨爾,,音樂,,2018-11-20
3604219,"Daquin, Louis-Claude",達干,,音樂,,2018-11-20
3604220,"Darbellay, Jean-Luc",達貝雷,,音樂,,2018-11-20
3604221,"David, Félicien César",大衛，費利西安（達維德，費利西安）,,音樂,,2018-11-20
3604222,"David, Samuel",大衛，薩繆耶勒（達維德，薩繆耶勒）,,音樂,,2018-11-20
3604223,"De Bériot, Charles-Auguste",德‧貝里歐,,音樂,,2018-11-20
3604224,"de Boismortier, Joseph Bodin",德‧布瓦莫提耶,,音樂,,2018-11-20
3604225,"de Grigny, Nicolas",德‧葛里尼,,音樂,,2018-11-20
3604226,Adam de la Halle,德‧拉阿勒,,音樂,,2018-11-20
3604227,"De la Rue, Pierre",德‧拉律,,音樂,,2018-11-20
3604228,"De Lalande, Michel Richard",德‧拉朗德，米歇勒,,音樂,,2018-11-20
3604229,"de Lescazes, Emmanuel",德‧列卡茲,,音樂,,2018-11-20
3604230,"De Ley, Alain",德‧列伊,,音樂,,2018-11-20
