ID,英文名稱,中文名稱,圖片,中國大陸譯名,作曲家,作曲家臺灣譯名,作曲家中國大陸譯名,臺灣分類,中國大陸分類,更新日期
3539188,"Buch der hängenden Gärten, Das",空中花園之篇,,空中花园之篇,"Schönberg(Schoenberg), Arnold",荀貝格,勋伯格,聲樂曲,声乐曲,2018-05-30
3539189,Burleske,滑稽曲,,滑稽曲,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,協奏曲,协奏曲,2018-05-30
3539190,"Burning Fiery Furnace, The",烈焰燃燒的火爐,,火窑歌,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539191,calm sea and prosperous voyage,平靜的大海和幸福的航行,,平静的大海和幸福的航行,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,管絃樂曲,管弦乐曲,2018-05-30
3539192,Candide,老實人,,老实人,"Bernstein, Leonard","伯恩斯坦,雷歐納德",伦纳德·伯恩斯坦,音樂劇,音乐剧,2018-05-30
3539193,Cantata Academica,學院康塔塔,,学院康塔塔,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539194,Cantata Profana,世俗康塔塔,,世俗康塔塔,"Bartók, Béla",巴爾托克,巴托克,聲樂曲,声乐曲,2018-05-30
3539195,"Canterbury Pilgrims, The",坎特伯里朝聖者,,坎特伯雷朝圣者,"Koven, Reginald de",柯文,科文,歌劇,歌剧,2018-05-30
3539196,Canticles,頌歌,,圣歌,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539197,"Canyons aux étoiles, Des",星光下的峽谷,,从大峡谷到星星,"Messiaen, Olivier",梅湘,梅西安,協奏曲,协奏曲,2018-05-30
3539198,Capriccio Burlesco,滑稽隨響曲,,滑稽随想曲,"Walton, William",華爾頓,沃尔顿,管弦樂曲,管弦乐曲,2018-05-30
3539199,capriccio（意）；caprice（英，法）,隨想曲,,随想曲,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539200,"Capuleti e i Montecchi, I",卡普雷提與蒙泰奇家族｛羅密歐與茱麗葉｝,,卡普莱蒂与蒙泰基,"Bellini, Vincenzo",貝利尼,贝里尼,歌劇,歌剧,2018-05-30
3539201,Cardillac,卡第拉克,,卡地拉克,"Hindemith, Paul",辛德密特,欣德米特,歌劇,歌剧,2018-05-30
3539202,Carillon,排鐘,,组钟,"Elgar, Edward",艾爾加,埃尔加,聲樂曲,声乐曲,2018-05-30
3539203,Carmen,卡門,,卡门,"Bizet, Georges",比才,比才,歌劇,歌剧,2018-05-30
3539204,Carmina Burana,布蘭詩歌,,布兰诗歌,"Orff, Carl",奧福,奥尔夫,聲樂曲,声乐曲,2018-05-30
3539205,Carnaval,狂歡節,,狂欢节,"Schumann, Robert",舒曼,舒曼,鍵盤樂曲,键盘乐曲,2018-05-30
3539206,"Carnaval des animaux, Le",動物狂歡曲,,动物狂欢节,"Saint-Saëns, Camille",聖桑斯,圣-桑,室內樂曲,室内乐曲,2018-05-30
3539207,"Carnaval Romain, Le",羅馬狂歡節,,罗马狂欢节,"Berlioz, Hector",白遼士,柏辽兹,管絃樂曲,管弦乐曲,2018-05-30
3539208,Castor et  Pollux,卡斯托與波路克斯,,卡斯托耳与波吕克斯,"Rameau, Jean-Philippe",拉莫,拉莫,歌劇,歌剧,2018-05-30
3539209,"Cathédrale engloutie, La",沉没的教堂,,沉没的大教堂,"Debussy, Claude",德布西,德彪西,鍵盤樂曲,键盘乐曲,2018-05-30
3539210,Catulli Carmina,卡圖利詩歌,,卡图卢斯之歌,"Orff, Carl",奧福,奥尔夫,聲樂曲,声乐曲,2018-05-30
3539211,Caucasian Sketches,高加索素描,,高加索素描,"Ippolitov-Ivanov, Mikhail",易波里托夫－伊凡諾夫,伊波利托夫-伊万诺夫,管絃樂曲,管弦乐曲,2018-05-30
3539212,Cavalleria rusticana,鄉村騎士,,乡村骑士,"Mascagni, Pietro",馬斯卡尼,马斯卡尼,歌劇,歌剧,2018-05-30
3539213,"Celestial Railroad, The",天國之路,,天国之路,"Ives, Charles",艾夫士,艾夫斯,鍵盤樂曲,键盘乐曲,2018-05-30
3539214,Cello Symphony,大提琴交響曲,,大提琴交响曲,"Britten, Benjamin",布瑞頓,布里顿,交響曲,交响曲,2018-05-30
3539215,Central Park in the Dark in the Good Old Summer time,中央公園的仲夏夜,,中央公园的夏夜,"Ives, Charles",艾夫士,艾夫斯,管絃樂曲,管弦乐曲,2018-05-30
3539216,"Ceremony of Carols, A",聖誕頌歌,,圣诞颂歌仪式,"Britten, Benjamin",布瑞頓,布里顿,聲樂曲,声乐曲,2018-05-30
3539217,"Chasse, La（法）",狩獵交響曲,,狩猎,"Haydn, Franz Joseph",海頓,海顿,交響曲,交响曲,2018-05-30
3539218,"Cheminée du roi René, La",勒內王的煙囪,,勒内王的烟,"Milhaud, Darius",米堯,米约,器樂曲,器乐曲,2018-05-30
3539219,Cherevichki,女鞋,,女靴,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴科夫斯基,歌劇,歌剧,2018-05-30
3539220,"Childofour Time, A",我們時代的孩子,,我们时代的孩子,"Tippet, Michael",提佩特,蒂皮特,聲樂曲,声乐曲,2018-05-30
3539221,Children's Corner,兒童世界,,儿童乐园,"Debussy, Claude",德布西,德彪西,鍵盤樂曲,键盘乐曲,2018-05-30
3539222,"Chocolate Soldier, The",巧克力士兵,,巧克力士兵,"Straus, Oscar","史特勞斯,奧斯卡",O.施特劳斯,歌劇,歌剧,2018-05-30
3539223,Choral Fantasia,合唱幻想曲,,合唱幻想曲,"Beethoven, Ludwig van",貝多芬,贝多芬,管絃樂曲,管弦乐曲,2018-05-30
3539224,Chout,丑角,,丑角,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,管絃樂曲,管弦乐曲,2018-05-30
3539225,"Christelflein, Das",聖誕節小精靈,,圣诞节小精灵,"Pfitzner, Hans",普費茲納,普菲茨纳,歌劇,歌剧,2018-05-30
3539226,Christmas Eve,聖誕節,,圣诞夜,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,歌劇,歌剧,2018-05-30
3539227,Christus,耶穌基督,,耶稣基督,"Liszt, Franz(Ferenc)",李斯特,李斯特/门德尔松/巴赫,聲樂曲,声乐曲,2018-05-30
3539228,Chromatische Fantasie und Fuga,半音幻想曲與復格,,半音阶幻想曲与赋格,"Bach, Johann Sebastian",巴赫（J.S),巴赫,鍵盤樂曲,键盘乐曲,2018-05-30
3539229,Chronochromie,時間的色彩,,时间颜色,"Messiaen, Olivier",梅湘,梅西安,管絃樂曲,管弦乐曲,2018-05-30
3539230,"Chute de la Maison Usher, La",阿瑟宅第的塌陷,,厄舍古厦的倒塌,"Debussy, Claude",德布西,德彪西,歌劇,歌剧,2018-05-30
3539231,"Cid, Le",席德,,熙德,"Massenet, Jules",馬斯內,马斯内,歌劇,歌剧,2018-05-30
3539232,Cinderella,灰姑娘,,灰姑娘,"Rossini, Gioachino (Antonio)",羅西尼,罗西尼/马斯内/普罗科菲耶夫,歌劇,歌剧,2018-05-30
3539233,"Cinesi, Le",中國貴婦,,中国贵妇,"Gluck, Christoph Willibald von",葛路克,格鲁克,歌劇,歌剧,2018-05-30
3539234,Circus Polka,馬戲波卡,,马戏波尔卡,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,鍵盤樂曲,键盘乐曲,2018-05-30
3539235,Clair de lune,月光,,月光,"Debussy, Claude/Fauré, Gabriel",德布西/佛瑞,德彪西/福雷,鍵盤樂曲/聲樂曲,键盘乐曲/声乐曲,2018-05-30
3539236,Classical Symphony,古典交響曲,,古典交响曲,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,交響曲,交响曲,2018-05-30
3539237,"Clemenza di Tito, La",狄托王的仁慈,,狄托的仁慈,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539238,"Cloud Messenger,The",雲的使者,,云的使者,"Horst, Louis",霍斯特,霍尔斯特,聲樂曲,声乐曲,2018-05-30
3539239,Cocardes,徽章,,帽章,"Poulenc, Francis",浦朗克,普朗克,聲樂曲,声乐曲,2018-05-30
3539240,Cockaigne overture,安樂鄉序曲,,安乐乡,"Elgar, Edward",艾爾加,埃尔加,管絃樂曲,管弦乐曲,2018-05-30
3539241,Coffee Cantata,咖啡康塔塔,,咖啡康塔塔,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),聲樂曲,声乐曲,2018-05-30
3539242,Colour Symphony,色彩交響曲,,颜色交响乐,"Bliss,  Arthur",布利斯,布利斯,交響曲,交响曲,2018-05-30
3539243,"Combattimento di Tancredi e Clorinda, Il",唐克雷迪和克羅林達之戰,,坦克雷迪和克洛林达之争,"Monteverdi, Claudio",蒙特威爾第,蒙特威尔第,聲樂曲,声乐曲,2018-05-30
3539244,Come ye Sons of Art,藝術之子來臨,,"艺术之子,来吧","Purcell, Henry",珀瑟爾,珀塞尔,聲樂曲,声乐曲,2018-05-30
3539245,Concierto de Aranjuez,阿蘭蕙斯協奏曲,,阿兰胡埃斯协奏曲,"Rodrigo, Joaquín",羅德利哥,罗德里戈,協奏曲,协奏曲,2018-05-30
3539246,Concord Sonata,康科德奏鳴曲,,康科德奏鸣曲,"Ives, Charles",艾夫士,艾夫斯,鍵盤樂曲,键盘乐曲,2018-05-30
